"Id produit";"Nom du produit";"Référence du produit";"ID du groupe client";"Nom du groupe client";"Prix spécifique"
8417;"Couvre siège avant éponge Bleue";236290;47;"Tarifs Dumortier Souyri";7.560000
8417;"Couvre siège avant éponge Bleue";236290;31;"Remises Pro +";7.940000
8417;"Couvre siège avant éponge Bleue";236290;19;"Remises Pro";8.310000
8416;"Jeu DE Housses Avant Classiques 1/2 TS - 2 sièges avant - Noir";104;47;"Tarifs Dumortier Souyri";7.990000
8416;"Jeu DE Housses Avant Classiques 1/2 TS - 2 sièges avant - Noir";104;19;"Remises Pro";8.790000
8416;"Jeu DE Housses Avant Classiques 1/2 TS - 2 sièges avant - Noir";104;31;"Remises Pro +";8.390000
8348;"Tapis Volkswagen Touran - De 2003 à ce jour - Prestige";239730;47;"Tarifs Dumortier Souyri";19.900000
8348;"Tapis Volkswagen Touran - De 2003 à ce jour - Prestige";239730;19;"Remises Pro";21.890000
8348;"Tapis Volkswagen Touran - De 2003 à ce jour - Prestige";239730;31;"Remises Pro +";20.900000
8347;"Tapis Volkswagen Tiguan 2 - De 2016 à ce jour - Prestige";239880;47;"Tarifs Dumortier Souyri";19.900000
8347;"Tapis Volkswagen Tiguan 2 - De 2016 à ce jour - Prestige";239880;19;"Remises Pro";21.890000
8347;"Tapis Volkswagen Tiguan 2 - De 2016 à ce jour - Prestige";239880;31;"Remises Pro +";20.900000
8346;"Tapis Smart For Two 2 - De 2014 à ce jour - Prestige";241210;47;"Tarifs Dumortier Souyri";19.900000
8346;"Tapis Smart For Two 2 - De 2014 à ce jour - Prestige";241210;19;"Remises Pro";21.890000
8346;"Tapis Smart For Two 2 - De 2014 à ce jour - Prestige";241210;31;"Remises Pro +";20.900000
8345;"Tapis Smart For Two - De 2007 à 2014 - Prestige";241200;47;"Tarifs Dumortier Souyri";19.900000
8345;"Tapis Smart For Two - De 2007 à 2014 - Prestige";241200;19;"Remises Pro";21.890000
8345;"Tapis Smart For Two - De 2007 à 2014 - Prestige";241200;31;"Remises Pro +";20.900000
8344;"Tapis Skoda Octavia 4 - De 2020 à ce jour - Prestige";239720;47;"Tarifs Dumortier Souyri";19.900000
8344;"Tapis Skoda Octavia 4 - De 2020 à ce jour - Prestige";239720;19;"Remises Pro";21.890000
8344;"Tapis Skoda Octavia 4 - De 2020 à ce jour - Prestige";239720;31;"Remises Pro +";20.900000
8343;"Tapis Renault Zoe & Zoe 2 - De 2013 à ce jour - Prestige";238120;47;"Tarifs Dumortier Souyri";19.900000
8343;"Tapis Renault Zoe & Zoe 2 - De 2013 à ce jour - Prestige";238120;19;"Remises Pro";21.890000
8343;"Tapis Renault Zoe & Zoe 2 - De 2013 à ce jour - Prestige";238120;31;"Remises Pro +";20.900000
8342;"Tapis Renault Scenic 3 - De 2009 à 2016 - Prestige";221890;47;"Tarifs Dumortier Souyri";19.900000
8342;"Tapis Renault Scenic 3 - De 2009 à 2016 - Prestige";221890;19;"Remises Pro";21.890000
8342;"Tapis Renault Scenic 3 - De 2009 à 2016 - Prestige";221890;31;"Remises Pro +";20.900000
8341;"Tapis Renault Captur 2 - De 2019 à ce jour - Prestige";238090;47;"Tarifs Dumortier Souyri";19.900000
8341;"Tapis Renault Captur 2 - De 2019 à ce jour - Prestige";238090;19;"Remises Pro";21.890000
8341;"Tapis Renault Captur 2 - De 2019 à ce jour - Prestige";238090;31;"Remises Pro +";20.900000
8340;"Tapis Peugeot 807 - De 2002 à 2014 - Prestige";239870;47;"Tarifs Dumortier Souyri";19.900000
8340;"Tapis Peugeot 807 - De 2002 à 2014 - Prestige";239870;19;"Remises Pro";21.890000
8340;"Tapis Peugeot 807 - De 2002 à 2014 - Prestige";239870;31;"Remises Pro +";20.900000
8339;"Tapis Peugeot 508 2 & 508 2 SW - De 2018 à ce jour - Prestige";239750;47;"Tarifs Dumortier Souyri";19.900000
8339;"Tapis Peugeot 508 2 & 508 2 SW - De 2018 à ce jour - Prestige";239750;19;"Remises Pro";21.890000
8339;"Tapis Peugeot 508 2 & 508 2 SW - De 2018 à ce jour - Prestige";239750;31;"Remises Pro +";20.900000
8338;"Tapis Peugeot 3008 - De 2009 à 2016 - Prestige";239740;47;"Tarifs Dumortier Souyri";19.900000
8338;"Tapis Peugeot 3008 - De 2009 à 2016 - Prestige";239740;19;"Remises Pro";21.890000
8338;"Tapis Peugeot 3008 - De 2009 à 2016 - Prestige";239740;31;"Remises Pro +";20.900000
8337;"Tapis Peugeot 2008 2 - De 2019 à ce jour - Prestige";238110;47;"Tarifs Dumortier Souyri";19.900000
8337;"Tapis Peugeot 2008 2 - De 2019 à ce jour - Prestige";238110;19;"Remises Pro";21.890000
8337;"Tapis Peugeot 2008 2 - De 2019 à ce jour - Prestige";238110;31;"Remises Pro +";20.900000
8336;"Tapis Opel Corsa - De 2006 à 2014 - Prestige";239830;47;"Tarifs Dumortier Souyri";19.900000
8336;"Tapis Opel Corsa - De 2006 à 2014 - Prestige";239830;19;"Remises Pro";21.890000
8336;"Tapis Opel Corsa - De 2006 à 2014 - Prestige";239830;31;"Remises Pro +";20.900000
8335;"Tapis Mini Cooper - De 2007 à 2010 - Prestige";239780;47;"Tarifs Dumortier Souyri";19.900000
8335;"Tapis Mini Cooper - De 2007 à 2010 - Prestige";239780;19;"Remises Pro";21.890000
8335;"Tapis Mini Cooper - De 2007 à 2010 - Prestige";239780;31;"Remises Pro +";20.900000
8334;"Tapis Mercedes Classe B - De 2019 à ce jour - Prestige";241330;47;"Tarifs Dumortier Souyri";19.900000
8334;"Tapis Mercedes Classe B - De 2019 à ce jour - Prestige";241330;19;"Remises Pro";21.890000
8334;"Tapis Mercedes Classe B - De 2019 à ce jour - Prestige";241330;31;"Remises Pro +";20.900000
8333;"Tapis Mercedes Classe A - De 2020 à ce jour - Prestige";241190;47;"Tarifs Dumortier Souyri";19.900000
8333;"Tapis Mercedes Classe A - De 2020 à ce jour - Prestige";241190;19;"Remises Pro";21.890000
8333;"Tapis Mercedes Classe A - De 2020 à ce jour - Prestige";241190;31;"Remises Pro +";20.900000
8332;"Tapis Fiat 500 - De 2007 à 2012 - Prestige";239770;47;"Tarifs Dumortier Souyri";19.900000
8332;"Tapis Fiat 500 - De 2007 à 2012 - Prestige";239770;19;"Remises Pro";21.890000
8332;"Tapis Fiat 500 - De 2007 à 2012 - Prestige";239770;31;"Remises Pro +";20.900000
8331;"Tapis Dacia Duster 2 - De 2017 à 2021 - Prestige";239860;47;"Tarifs Dumortier Souyri";19.900000
8331;"Tapis Dacia Duster 2 - De 2017 à 2021 - Prestige";239860;19;"Remises Pro";21.890000
8331;"Tapis Dacia Duster 2 - De 2017 à 2021 - Prestige";239860;31;"Remises Pro +";20.900000
8330;"Tapis Citroen C5 Aircross - De 2020 à ce jour - Prestige";239800;47;"Tarifs Dumortier Souyri";19.900000
8330;"Tapis Citroen C5 Aircross - De 2020 à ce jour - Prestige";239800;19;"Remises Pro";21.890000
8330;"Tapis Citroen C5 Aircross - De 2020 à ce jour - Prestige";239800;31;"Remises Pro +";20.900000
8329;"Tapis Citroen C3 Picasso - De 2009 à 2017 - Prestige";239840;47;"Tarifs Dumortier Souyri";19.900000
8329;"Tapis Citroen C3 Picasso - De 2009 à 2017 - Prestige";239840;19;"Remises Pro";21.890000
8329;"Tapis Citroen C3 Picasso - De 2009 à 2017 - Prestige";239840;31;"Remises Pro +";20.900000
8328;"Tapis Citroen C3 - De 2016 à 2020 - Prestige";239760;47;"Tarifs Dumortier Souyri";19.900000
8328;"Tapis Citroen C3 - De 2016 à 2020 - Prestige";239760;19;"Remises Pro";21.890000
8328;"Tapis Citroen C3 - De 2016 à 2020 - Prestige";239760;31;"Remises Pro +";20.900000
8327;"Tapis BMW Série 1 - De 2004 à 2011 - Prestige";239790;47;"Tarifs Dumortier Souyri";19.900000
8327;"Tapis BMW Série 1 - De 2004 à 2011 - Prestige";239790;19;"Remises Pro";21.890000
8327;"Tapis BMW Série 1 - De 2004 à 2011 - Prestige";239790;31;"Remises Pro +";20.900000
8326;"Tapis Volkswagen Taigo - De 09/2021 à ce jour - Vendome";250570;47;"Tarifs Dumortier Souyri";11.500000
8326;"Tapis Volkswagen Taigo - De 09/2021 à ce jour - Vendome";250570;19;"Remises Pro";12.650000
8326;"Tapis Volkswagen Taigo - De 09/2021 à ce jour - Vendome";250570;31;"Remises Pro +";12.080000
8325;"Tapis Volkswagen ID.3 100% électrique - De 11/2019 à ce jour - Vendome";250770;47;"Tarifs Dumortier Souyri";11.500000
