A165415              ?240224        165415                                             DATE DE LIVRAISON : 240224 HEURE MINI :      HEURE MAXI :                     EUR 165415               1389900000001
BCROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                   pdv40438@mousquetaires.com                                                                                       
BLROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
BFROADY GANNAT                       ZI ROUTE DE CLERMONT FERRAND                                03800    GANNAT                             FR                                                                                                                                                                    
C1   ????????        00000000020000014.01                                                                                                                                                                  165415              3281690247150
C2   ????????        00000000010000015.92                                                                                                                                                                  165415              3281690247525
C3   ????????        00000000010000019.49                                                                                                                                                                  165415              3281690246931
C4   ????????        00000000010000007.48                                                                                                                                                                  165415              3281690243626
C5   ????????        00000000010000007.48                                                                                                                                                                  165415              3281690243633
C6   ????????        00000000010000007.48                                                                                                                                                                  165415              3281690243640
C7   ????????        00000000010000004.61                                                                                                                                                                  165415              3281690241325
C8   ????????        00000000010000041.47                                                                                                                                                                  165415              3281690244388
C9   ????????        00000000020000006.22                                                                                                                                                                  165415              5906961222589
C10  ????????        00000000020000003.74                                                                                                                                                                  165415              3281690234358
C11  ????????        00000000020000006.13                                                                                                                                                                  165415              3284090197056
C12  ????????        00000000010000008.69                                                                                                                                                                  165415              3284090415013
C13  ????????        00000000010000008.17                                                                                                                                                                  165415              3281690244920
C14  ????????        00000000010000009.59                                                                                                                                                                  165415              3281690147801
C15  ????????        00000000010000009.59                                                                                                                                                                  165415              3281690147795
C16  ????????        00000000010000000003                                                                                                                                                                  165415              0123456789012
