A165417              ?240306        165417                                             DATE DE LIVRAISON : 240306 HEURE MINI :      HEURE MAXI :                     EUR 165417               3012842641836
BCFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                   carpentras@feuvert.fr                                                                                            
BLFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                                                                                                                                    
BFFEU VERT CARPENTRAS                815 AVENUE J.H. FABRE SARL AUTO FEELING                     84200    CARPENTRAS                         FR                                                                                                                                                                    
C1   ????????        00000000040000007.19                                                                                                                                                                  165417              3281690164549
C2   ????????        000000000400000013.9                                                                                                                                                                  165417              3281690247150
C3   ????????        00000000040000017.24                                                                                                                                                                  165417              3281690247082
C4   ????????        00000000040000018.11                                                                                                                                                                  165417              3281690247068
C5   ????????        00000000010000000006                                                                                                                                                                  165417              3281690225998
C6   ????????        00000000020000013.24                                                                                                                                                                  165417              3519910034113
C7   ????????        00000000020000009.86                                                                                                                                                                  165417              3281690201824
C8   ????????        00000000020000010.83                                                                                                                                                                  165417              3281690187142
C9   ????????        00000000010000015.76                                                                                                                                                                  165417              3281690247204
C10  ????????        00000000010000000030                                                                                                                                                                  165417              0123456789012
