A165426              ?240328        165426                                             DATE DE LIVRAISON : 240328 HEURE MINI :      HEURE MAXI :                     EUR 165426               2500065897850
BCBAZARLAND BESANCON                 77 BIS RUE DE VESOUL                                        25000    BESANCON                           FR                                                   besancon@bazarland.fr                                                                                            
BLBAZARLAND BESANCON                 77 BIS RUE DE VESOUL                                        25000    BESANCON                           FR                                                                                                                                                                    
BFBAZARLAND BESANCON                 77 BIS RUE DE VESOUL                                        25000    BESANCON                           FR                                                                                                                                                                    
C1   ????????        000000002000000000.7                                                                                                                                                                  165426              3284090003463
C2   ????????        00000000100000003.75                                                                                                                                                                  165426              3284090007980
C3   ????????        000000001800000001.2                                                                                                                                                                  165426              3284090282059
C4   ????????        000000001800000001.2                                                                                                                                                                  165426              3284090282011
C5   ????????        00000000060000001.45                                                                                                                                                                  165426              5907718925494
C6   ????????        00000000080000003.49                                                                                                                                                                  165426              3284090007850
C7   ????????        000000001000000002.4                                                                                                                                                                  165426              3284090797010
C8   ????????        00000000100000001.24                                                                                                                                                                  165426              3284090007942
C9   ????????        000000001000000000.2                                                                                                                                                                  165426              3284090003418
C10  ????????        00000000120000000.91                                                                                                                                                                  165426              7612720201068
C11  ????????        000000001200000001.7                                                                                                                                                                  165426              3284090001506
C12  ????????        000000001200000001.7                                                                                                                                                                  165426              3284090001704
C13  ????????        000000001000000000.5                                                                                                                                                                  165426              3284090003425
C14  ????????        00000000120000001.15                                                                                                                                                                  165426              3284090008338
C15  ????????        00000000120000001.19                                                                                                                                                                  165426              3284090005429
C16  ????????        00000000120000001.85                                                                                                                                                                  165426              3284090003661
C17  ????????        00000000050000003.49                                                                                                                                                                  165426              3284090005108
C18  ????????        00000000010000002.29                                                                                                                                                                  165426              3284090009472
C19  ????????        00000000120000002.95                                                                                                                                                                  165426              3284090002497
C20  ????????        00000000120000002.75                                                                                                                                                                  165426              3284090002343
C21  ????????        00000000120000000.91                                                                                                                                                                  165426              7612720208661
C22  ????????        00000000060000002.05                                                                                                                                                                  165426              8053288294595
C23  ????????        00000000100000003.49                                                                                                                                                                  165426              3284090009700
C24  ????????        00000000120000000.91                                                                                                                                                                  165426              7612720201433
C25  ????????        00000000120000000.91                                                                                                                                                                  165426              7612720201211
C26  ????????        000000000400000001.9                                                                                                                                                                  165426              3284090001407
C27  ????????        000000001200000001.7                                                                                                                                                                  165426              3284090001735
C28  ????????        00000000020000008.35                                                                                                                                                                  165426              3281690200483
C29  ????????        00000000020000008.35                                                                                                                                                                  165426              3281690170960
C30  ????????        000000000500000002.9                                                                                                                                                                  165426              3281690236758
C31  ????????        000000000500000002.9                                                                                                                                                                  165426              3281690236765
C32  ????????        00000000100000000006                                                                                                                                                                  165426              3281690228425
C33  ????????        00000000100000000005                                                                                                                                                                  165426              3281690228418
C34  ????????        00000000120000000.91                                                                                                                                                                  165426              7612720201457
C35  ????????        00000000010000000000                                                                                                                                                                  165426              0123456789012
A165428              ?240328        165428                                             DATE DE LIVRAISON : 240328 HEURE MINI :      HEURE MAXI :                     EUR 165428               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        00000000010000024.41                                                                                                                                                                  165428              3281690244425
C2   ????????        00000000010000026.45                                                                                                                                                                  165428              3281690244432
C3   ????????        00000000020000042.29                                                                                                                                                                  165428              3281690244364
C4   ????????        00000000010000045.46                                                                                                                                                                  165428              3281690244371
C5   ????????        00000000010000014.75                                                                                                                                                                  165428              3281690244159
C6   ????????        000000000100000012.1                                                                                                                                                                  165428              3281690247501
C7   ????????        00000000010000009.15                                                                                                                                                                  165428              3281690247426
C8   ????????        000000000100000018.3                                                                                                                                                                  165428              3281690247518
C9   ????????        000000000100000022.4                                                                                                                                                                  165428              3281690247068
C10  ????????        000000000100000022.4                                                                                                                                                                  165428              3281690247235
C11  ????????        000000000200000042.6                                                                                                                                                                  165428              3281690247075
C12  ????????        000000000100000038.6                                                                                                                                                                  165428              3281690246948
C13  ????????        000000000100000038.6                                                                                                                                                                  165428              3281690246955
C14  ????????        00000000010000009.25                                                                                                                                                                  165428              3281690199732
C15  ????????        00000000010000013.97                                                                                                                                                                  165428              3281690187166
C16  ????????        00000000010000008.75                                                                                                                                                                  165428              3281690174166
C17  ????????        00000000010000008.21                                                                                                                                                                  165428              3281690185957
C18  ????????        00000000010000007.73                                                                                                                                                                  165428              3281690137581
C19  ????????        00000000020000013.15                                                                                                                                                                  165428              3281690228265
C20  ????????        00000000020000016.02                                                                                                                                                                  165428              3281690228272
C21  ????????        00000000010000000000                                                                                                                                                                  165428              0123456789012
