A165436              ?240408        165436                                             DATE DE LIVRAISON : 240408 HEURE MINI :      HEURE MAXI :                     EUR 165436               5613014798540
BCROADY NIVILLAC                     ROUTE DE NANTES                                             56130    NIVILLAC                           FR                                                   pdv02608@mousquetaires.com                                                                                       
BLROADY NIVILLAC                     ROUTE DE NANTES                                             56130    NIVILLAC                           FR                                                                                                                                                                    
BFROADY NIVILLAC                     ROUTE DE NANTES                                             56130    NIVILLAC                           FR                                                                                                                                                                    
C1   ????????        000000000200000019.2                                                                                                                                                                  165436              3281690247006
C2   ????????        000000000100000022.4                                                                                                                                                                  165436              3281690246931
C3   ????????        000000000200000028.2                                                                                                                                                                  165436              3281690247143
C4   ????????        000000000200000027.8                                                                                                                                                                  165436              3281690247167
C5   ????????        00000000010000006.14                                                                                                                                                                  165436              3281690185872
C6   ????????        00000000010000008.98                                                                                                                                                                  165436              3281690174883
C7   ????????        00000000010000037.89                                                                                                                                                                  165436              3281690244357
C8   ????????        00000000010000042.29                                                                                                                                                                  165436              3281690244364
C9   ????????        00000000010000047.67                                                                                                                                                                  165436              3281690244388
C10  ????????        00000000010000021.35                                                                                                                                                                  165436              3281690244401
C11  ????????        00000000010000031.87                                                                                                                                                                  165436              3281690244449
C12  ????????        000000000100000014.1                                                                                                                                                                  165436              3281690244494
C13  ????????        000000000100000013.7                                                                                                                                                                  165436              3281690187142
C14  ????????        00000000010000017.34                                                                                                                                                                  165436              3281690164556
C15  ????????        00000000010000007.17                                                                                                                                                                  165436              3281690164518
C16  ????????        00000000010000008.23                                                                                                                                                                  165436              3281690224540
C17  ????????        000000000100000005.3                                                                                                                                                                  165436              3281690241325
C18  ????????        00000000800000001.42                                                                                                                                                                  165436              3382140073449
C19  ????????        000000000100000020.9                                                                                                                                                                  165436              5903299425552
C20  ????????        00000000400000001.32                                                                                                                                                                  165436              3382140073432
C21  ????????        000000000200000016.1                                                                                                                                                                  165436              3281690247150
C22  ????????        000000000200000017.5                                                                                                                                                                  165436              3281690247136
C23  ????????        00000000010000005.88                                                                                                                                                                  165436              3281690235324
C24  ????????        00000000010000040.45                                                                                                                                                                  165436              3281690247280
C25  ????????        000000000100000006.1                                                                                                                                                                  165436              3281690247532
C26  ????????        00000000010000024.41                                                                                                                                                                  165436              3281690244425
