A165441              ?240413        165441                                             DATE DE LIVRAISON : 240413 HEURE MINI :      HEURE MAXI :                     EUR 165441               1740044740001
BCROADY ST JEAN D ANGELY             ZAC DE L'AUMONERIE                                          17400    ST JEAN D ANGELY                   FR                                                   pdv05805@mousquetaires.com                                                                                       
BLROADY ST JEAN D ANGELY             ZAC DE L'AUMONERIE                                          17400    ST JEAN D ANGELY                   FR                                                                                                                                                                    
BFROADY ST JEAN D ANGELY             ZAC DE L'AUMONERIE                                          17400    ST JEAN D ANGELY                   FR                                                                                                                                                                    
C1   ????????        00000000120000001.35                                                                                                                                                                  165441              3284090512019
C2   ????????        000000001000000002.4                                                                                                                                                                  165441              3284090598013
C3   ????????        00000000020000004.55                                                                                                                                                                  165441              3284090002381
C4   ????????        00000000040000001.92                                                                                                                                                                  165441              3284090005283
C5   ????????        00000000020000000009                                                                                                                                                                  165441              8005874000011
C6   ????????        00000000040000010.51                                                                                                                                                                  165441              3284090009991
C7   ????????        00000000050000007.26                                                                                                                                                                  165441              3284090009984
C8   ????????        00000000010000005.17                                                                                                                                                                  165441              3284090009793
C9   ????????        00000000010000006.49                                                                                                                                                                  165441              3284090009816
C10  ????????        00000000060000005.05                                                                                                                                                                  165441              3284090008062
C11  ????????        00000000010000001.45                                                                                                                                                                  165441              3284090006051
C12  ????????        000000000100000027.8                                                                                                                                                                  165441              3281690247167
C13  ????????        000000000100000028.2                                                                                                                                                                  165441              3281690247143
C14  ????????        00000000020000007.73                                                                                                                                                                  165441              3281690137581
C15  ????????        00000000020000012.79                                                                                                                                                                  165441              3281690237052
C16  ????????        000000000200000015.8                                                                                                                                                                  165441              3281690194867
C17  ????????        00000000010000028.49                                                                                                                                                                  165441              3281690164570
C18  ????????        00000000020000028.49                                                                                                                                                                  165441              3281690191767
C19  ????????        00000000020000014.98                                                                                                                                                                  165441              3281690225004
C20  ????????        00000000020000014.98                                                                                                                                                                  165441              3281690225028
C21  ????????        00000000020000014.98                                                                                                                                                                  165441              3281690225011
C22  ????????        00000000020000003.66                                                                                                                                                                  165441              3284090007874
C23  ????????        00000000010000014.59                                                                                                                                                                  165441              3284090009748
C24  ????????        00000000020000002.75                                                                                                                                                                  165441              3281690201930
C25  ????????        00000000040000006.98                                                                                                                                                                  165441              3281690239674
C26  ????????        00000000010000006.14                                                                                                                                                                  165441              3281690187524
C27  ????????        000000000100000013.7                                                                                                                                                                  165441              3281690187210
C28  ????????        00000000020000006.14                                                                                                                                                                  165441              3281690185872
C29  ????????        00000000020000006.14                                                                                                                                                                  165441              3281690185889
C30  ????????        00000000010000013.97                                                                                                                                                                  165441              3281690177273
C31  ????????        00000000010000006.87                                                                                                                                                                  165441              3281690225981
C32  ????????        00000000010000008.95                                                                                                                                                                  165441              3281690225998
C33  ????????        00000000010000009.88                                                                                                                                                                  165441              3281690226001
C34  ????????        00000000020000016.02                                                                                                                                                                  165441              3281690228272
C35  ????????        000000000200000014.9                                                                                                                                                                  165441              3281690236987
