A165444              ?240418        165444                                             DATE DE LIVRAISON : 240418 HEURE MINI :      HEURE MAXI :                     EUR 165444               54310764627130
BCPOINT S ST PHILIBERT               CENTRE AUTO POINT S 1 LA CHAUSSEE -CCIAL GRAND LAC          44310    SAINT PHILBERT DE GRAND LIEU       FR                                                   gladis@points.fr                                                                                                 
BLPOINT S ST PHILIBERT               CENTRE AUTO POINT S 1 LA CHAUSSEE -CCIAL GRAND LAC          44310    SAINT PHILBERT DE GRAND LIEU       FR                                                                                                                                                                    
BFPOINT S ST PHILIBERT               CENTRE AUTO POINT S 1 LA CHAUSSEE -CCIAL GRAND LAC          44310    SAINT PHILBERT DE GRAND LIEU       FR                                                                                                                                                                    
C1   ????????        00000000020000063.72                                                                                                                                                                  165444              3281690193242
C2   ????????        00000000010000019.89                                                                                                                                                                  165444              3281690193044
C3   ????????        00000000050000007.69                                                                                                                                                                  165444              3281690235966
C4   ????????        00000000010000015.45                                                                                                                                                                  165444              3519910203632
C5   ????????        00000000020000013.68                                                                                                                                                                  165444              3281690247150
C6   ????????        00000000010000016.34                                                                                                                                                                  165444              3281690247006
C7   ????????        00000000030000006.53                                                                                                                                                                  165444              3281690229521
C8   ????????        00000000010000032.76                                                                                                                                                                  165444              3281690247259
C9   ????????        00000000010000018.99                                                                                                                                                                  165444              3281690247266
