A165449              ?240423        165449                                             DATE DE LIVRAISON : 240423 HEURE MINI :      HEURE MAXI :                     EUR 165449               49130764627130
BCPOINT S LES PONTS DE CE            EURL APS ANGERS ZA DE SORGES-1 CH.DE PELLOUARD              49130    LES PONTS DE CE                    FR                                                   angers@pneus-services.fr                                                                                         
BLPOINT S LES PONTS DE CE            EURL APS ANGERS ZA DE SORGES-1 CH.DE PELLOUARD              49130    LES PONTS DE CE                    FR                                                                                                                                                                    
BFPOINT S LES PONTS DE CE            EURL APS ANGERS ZA DE SORGES-1 CH.DE PELLOUARD              49130    LES PONTS DE CE                    FR                                                                                                                                                                    
C1   ????????        00000000050000013.68                                                                                                                                                                  165449              3281690247150
C2   ????????        00000000020000023.58                                                                                                                                                                  165449              3281690247167
C3   ????????        00000000140000007.79                                                                                                                                                                  165449              3281690221488
C4   ????????        00000000010000012.78                                                                                                                                                                  165449              3281690164525
C5   ????????        00000000020000007.74                                                                                                                                                                  165449              3281690185957
C6   ????????        00000000020000007.55                                                                                                                                                                  165449              3281690223475
C7   ????????        000000000200000015.1                                                                                                                                                                  165449              3519910350084
C8   ????????        00000000010000009.46                                                                                                                                                                  165449              3284090009991
C9   ????????        00000000010000006.53                                                                                                                                                                  165449              3284090009984
