A165450              ?240427        165450                                             DATE DE LIVRAISON : 240427 HEURE MINI :      HEURE MAXI :                     EUR 165450               7370045987650
BCROADY BOURG ST MAURICE             LIEU DIT LE MOLLARD                                         73700    BOURG ST MAURICE                   FR                                                   pdv02578@mousquetaires.com                                                                                       
BLROADY BOURG ST MAURICE             LIEU DIT LE MOLLARD                                         73700    BOURG ST MAURICE                   FR                                                                                                                                                                    
BFROADY BOURG ST MAURICE             LIEU DIT LE MOLLARD                                         73700    BOURG ST MAURICE                   FR                                                                                                                                                                    
C1   ????????        00000000020000009.25                                                                                                                                                                  165450              3281690199732
C2   ????????        00000000020000011.55                                                                                                                                                                  165450              3281690164549
C3   ????????        00000000010000009.99                                                                                                                                                                  165450              3281690226483
C4   ????????        00000000020000009.15                                                                                                                                                                  165450              3281690247440
C5   ????????        000000000200000033.2                                                                                                                                                                  165450              3281690247228
C6   ????????        000000000300000016.1                                                                                                                                                                  165450              3281690247150
C7   ????????        000000000100000013.7                                                                                                                                                                  165450              3281690244463
C8   ????????        00000000010000001.99                                                                                                                                                                  165450              5907718928983
C9   ????????        00000000010000001.05                                                                                                                                                                  165450              7612720201013
C10  ????????        00000000010000001.05                                                                                                                                                                  165450              7612720201112
C11  ????????        00000000010000001.99                                                                                                                                                                  165450              5907718925494
C12  ????????        00000000010000001.99                                                                                                                                                                  165450              5907718925470
C13  ????????        00000000100000002.75                                                                                                                                                                  165450              5060194134054
