A165464              ?240525        165464                                             DATE DE LIVRAISON : 240525 HEURE MINI :      HEURE MAXI :                     EUR 165464               9370048874001
BCROADY DRANCY                       82 RUE SAINT STENAY                                         93700    DRANCY                             FR                                                   avenirautoservice@gmail.com                                                                                      
BLROADY DRANCY                       82 RUE SAINT STENAY                                         93700    DRANCY                             FR                                                                                                                                                                    
BFROADY DRANCY                       82 RUE SAINT STENAY                                         93700    DRANCY                             FR                                                                                                                                                                    
C1   ????????        00000000020000007.67                                                                                                                                                                  165464              3281690187128
C2   ????????        00000000020000008.75                                                                                                                                                                  165464              3281690174166
C3   ????????        00000000010000008.98                                                                                                                                                                  165464              3281690174159
C4   ????????        00000000020000008.98                                                                                                                                                                  165464              3281690174883
C5   ????????        00000000010000006.14                                                                                                                                                                  165464              3281690187524
C6   ????????        00000000010000006.14                                                                                                                                                                  165464              3281690185889
C7   ????????        00000000010000006.14                                                                                                                                                                  165464              3281690185872
C8   ????????        00000000020000005.88                                                                                                                                                                  165464              3281690184028
C9   ????????        00000000020000014.98                                                                                                                                                                  165464              3281690225011
C10  ????????        000000000100000009.1                                                                                                                                                                  165464              3281690190081
C11  ????????        00000000010000000008                                                                                                                                                                  165464              0123456789012
