A165465              ?240528        165465                                             DATE DE LIVRAISON : 240528 HEURE MINI :      HEURE MAXI :                     EUR 165465               7714000000001
BCROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                   roady.nemours@orange.fr                                                                                          
BLROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                                                                                                                                    
BFROADY NEMOURS                      ZAC DES HAUTEUR DU LOING                                    77140    NEMOURS                            FR                                                                                                                                                                    
C1   ????????        00000000010000153.86                                                                                                                                                                  165465              3281690236154
C2   ????????        000000002400000001.6                                                                                                                                                                  165465              3281690250082
C3   ????????        000000001200000014.9                                                                                                                                                                  165465              3281690250983
C4   ????????        00000000120000001.05                                                                                                                                                                  165465              7612720201112
C5   ????????        00000000040000002.65                                                                                                                                                                  165465              7612720841738
C6   ????????        00000000120000001.05                                                                                                                                                                  165465              7612720208012
C7   ????????        00000000120000001.05                                                                                                                                                                  165465              7612720201457
C8   ????????        00000000120000001.05                                                                                                                                                                  165465              7612720201976
C9   ????????        00000000040000002.65                                                                                                                                                                  165465              7612720841042
C10  ????????        00000000050000004.23                                                                                                                                                                  165465              3281690245842
C11  ????????        00000000050000005.77                                                                                                                                                                  165465              3281690245811
C12  ????????        00000000050000005.77                                                                                                                                                                  165465              3281690245828
C13  ????????        00000000030000007.05                                                                                                                                                                  165465              3281690245835
C14  ????????        00000000030000009.62                                                                                                                                                                  165465              3281690245903
C15  ????????        00000000030000009.62                                                                                                                                                                  165465              3281690245897
C16  ????????        00000000030000009.62                                                                                                                                                                  165465              3281690245927
C17  ????????        00000000030000009.62                                                                                                                                                                  165465              3281690245996
C18  ????????        00000000120000005.95                                                                                                                                                                  165465              3284090003920
