A165475              ?240610        165475                                             DATE DE LIVRAISON : 240610 HEURE MINI :      HEURE MAXI :                     EUR 165475               1210000000001
BCETAP AUTO MILLAU                   150 BLD GEORGES BRASSENS                                    12100    MILLAU                             FR 0786434357                                        leroy.ronan@ea-millau.fr                                                                                         
BLETAP AUTO MILLAU                   150 BLD GEORGES BRASSENS                                    12100    MILLAU                             FR 0786434357                                                                                                                                                         
BFETAP AUTO MILLAU                   150 BLD GEORGES BRASSENS                                    12100    MILLAU                             FR 0786434357                                                                                                                                                         
C1   ????????        000000000300000007.5                                                                                                                                                                  165475              3281690243640
C2   ????????        00000000030000010.26                                                                                                                                                                  165475              3281690247457
C3   ????????        00000000030000010.26                                                                                                                                                                  165475              3281690247549
C4   ????????        00000000030000013.23                                                                                                                                                                  165475              3281690247488
C5   ????????        00000000030000013.99                                                                                                                                                                  165475              3284090001087
C6   ????????        00000000030000028.17                                                                                                                                                                  165475              3281690247228
C7   ????????        00000000010000041.22                                                                                                                                                                  165475              3281690247129
C8   ????????        00000000010000015.57                                                                                                                                                                  165475              3281690247464
C9   ????????        00000000030000032.76                                                                                                                                                                  165475              3281690246948
C10  ????????        000000001200000001.8                                                                                                                                                                  165475              3284090001513
C11  ????????        000000006000000001.9                                                                                                                                                                  165475              3284090001407
C12  ????????        000000002400000000.9                                                                                                                                                                  165475              3284090006129
C13  ????????        00000000100000000.65                                                                                                                                                                  165475              3284090006136
C14  ????????        00000000050000009.89                                                                                                                                                                  165475              3281690243992
