A165488              ?240625        165488                                             DATE DE LIVRAISON : 240625 HEURE MINI :      HEURE MAXI :                     EUR 165488               1420000000001
BCROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                   pdv03340@mousquetaires.com                                                                                       
BLROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
BFROADY PEIPIN                       ROUTE NATIONALE 85                                          04200    PEIPIN                             FR                                                                                                                                                                    
C1   ????????        000000000200000013.7                                                                                                                                                                  165488              3281690187142
C2   ????????        00000000010000008.75                                                                                                                                                                  165488              3281690174166
C3   ????????        00000000020000006.14                                                                                                                                                                  165488              3281690185872
C4   ????????        00000000020000006.14                                                                                                                                                                  165488              3281690187524
C5   ????????        00000000040000016.02                                                                                                                                                                  165488              3281690228272
C6   ????????        00000000020000026.45                                                                                                                                                                  165488              3281690244432
C7   ????????        00000000020000047.67                                                                                                                                                                  165488              3281690244388
C8   ????????        00000000020000014.59                                                                                                                                                                  165488              3284090009748
C9   ????????        00000000010000003.02                                                                                                                                                                  165488              3281690235362
C10  ????????        000000000200000017.5                                                                                                                                                                  165488              3284090006358
C11  ????????        00000000120000001.05                                                                                                                                                                  165488              7612720201068
