A165490              ?240627        165490                                             DATE DE LIVRAISON : 240627 HEURE MINI :      HEURE MAXI :                     EUR 165490               1477741103254
BCROADY GUISE                        ZA DE LA BRIQUETTERIE RUE DES DOCTEURS DEVILLERS            02120    GUISE                              FR                                                   roady-guise@outlook.fr                                                                                           
BLROADY GUISE                        ZA DE LA BRIQUETTERIE RUE DES DOCTEURS DEVILLERS            02120    GUISE                              FR                                                                                                                                                                    
BFROADY GUISE                        ZA DE LA BRIQUETTERIE RUE DES DOCTEURS DEVILLERS            02120    GUISE                              FR                                                                                                                                                                    
C1   ????????        00000000010000001.75                                                                                                                                                                  165490              5904224109240
C2   ????????        00000000010000004.99                                                                                                                                                                  165490              3284090999308
C3   ????????        00000000010000009.94                                                                                                                                                                  165490              3281690236956
C4   ????????        000000000100000003.8                                                                                                                                                                  165490              5903299415270
C5   ????????        00000000010000005.12                                                                                                                                                                  165490              3281690187661
C6   ????????        00000000010000008.95                                                                                                                                                                  165490              3281690225998
C7   ????????        00000000010000009.88                                                                                                                                                                  165490              3281690226001
C8   ????????        00000000010000023.18                                                                                                                                                                  165490              3281690244418
C9   ????????        000000000200000017.5                                                                                                                                                                  165490              3284091510335
C10  ????????        000000000100000013.7                                                                                                                                                                  165490              3281690187210
C11  ????????        00000000010000002.97                                                                                                                                                                  165490              3281690222300
C12  ????????        00000000010000000008                                                                                                                                                                  165490              0123456789012
