A165492              ?240629        165492                                             DATE DE LIVRAISON : 240629 HEURE MINI :      HEURE MAXI :                     EUR 165492               3012810000105
BCFEU VERT LUNEVILLE                 ANCIEN CHEMIN DE LUNEVILLE                                  54300    MONCEL LES LUNEVILLE               FR                                                   luneville@feuvert.fr                                                                                             
BLFEU VERT LUNEVILLE                 ANCIEN CHEMIN DE LUNEVILLE                                  54300    MONCEL LES LUNEVILLE               FR                                                                                                                                                                    
BFFEU VERT LUNEVILLE                 ANCIEN CHEMIN DE LUNEVILLE                                  54300    MONCEL LES LUNEVILLE               FR                                                                                                                                                                    
C1   ????????        00000000020000006.15                                                                                                                                                                  165492              3281690185872
C2   ????????        000000000100000037.2                                                                                                                                                                  165492              3281690244371
C3   ????????        000000000100000039.9                                                                                                                                                                  165492              3281690244388
C4   ????????        000000000100000006.5                                                                                                                                                                  165492              3281690224540
C5   ????????        000000000100000006.5                                                                                                                                                                  165492              3281690224564
C6   ????????        000000000100000012.5                                                                                                                                                                  165492              3281690194867
C7   ????????        00000000030000015.19                                                                                                                                                                  165492              3281690166178
C8   ????????        00000000040000001.75                                                                                                                                                                  165492              3281690202555
C9   ????????        00000000100000002.15                                                                                                                                                                  165492              3284090598013
C10  ????????        000000000200000044.8                                                                                                                                                                  165492              3281690247112
C11  ????????        00000000020000036.59                                                                                                                                                                  165492              3281690246948
C12  ????????        00000000020000000014                                                                                                                                                                  165492              3281690244418
C13  ????????        00000000020000038.38                                                                                                                                                                  165492              3281690247280
C14  ????????        000000000200000017.5                                                                                                                                                                  165492              3281690247235
C15  ????????        000000000100000014.5                                                                                                                                                                  165492              3281690244425
C16  ????????        000000000100000015.5                                                                                                                                                                  165492              3281690244449
