A165501              ?240704        165501                                             DATE DE LIVRAISON : 240704 HEURE MINI :      HEURE MAXI :                     EUR 165501               8430000000001
BCCLEAN SERVICE SPNA                 AVENUE PIERRE MENDES FRANCE                                 84300    CAVAILLON                          FR                                                   dorothee.woisel@hotmail.com                                                                                      
BLCLEAN SERVICE SPNA                 AVENUE PIERRE MENDES FRANCE                                 84300    CAVAILLON                          FR                                                                                                                                                                    
BFCLEAN SERVICE SPNA                 AVENUE PIERRE MENDES FRANCE                                 84300    CAVAILLON                          FR                                                                                                                                                                    
C1   ????????        000000004000000001.9                                                                                                                                                                  165501              3284090001407
C2   ????????        00000000240000000.99                                                                                                                                                                  165501              7612720201235
C3   ????????        00000000240000000.99                                                                                                                                                                  165501              7612720201662
C4   ????????        00000000120000000.99                                                                                                                                                                  165501              7612720208029
C5   ????????        00000000240000000.99                                                                                                                                                                  165501              7612720201914
C6   ????????        00000000240000000.99                                                                                                                                                                  165501              7612720201723
C7   ????????        00000000240000000.99                                                                                                                                                                  165501              7612720201730
C8   ????????        00000000240000000.99                                                                                                                                                                  165501              7612720201068
C9   ????????        00000000240000000.99                                                                                                                                                                  165501              7612720201136
C10  ????????        00000000120000001.95                                                                                                                                                                  165501              3284090001612
C11  ????????        00000000010000003.15                                                                                                                                                                  165501              3284090001629
C12  ????????        000000000100000001.9                                                                                                                                                                  165501              3284090003661
C13  ????????        00000000260000000.99                                                                                                                                                                  165501              7612720201211
