A165502              ?240705        165502                                             DATE DE LIVRAISON : 240705 HEURE MINI :      HEURE MAXI :                     EUR 165502               8300159874520
BCSEAE - JPO                         RUE ROGER SOMMER ZI DE L ETOILE                             08300    RETHEL                             FR                                                   fv.rethel@gmail.com                                                                                              
BLSEAE - JPO                         RUE ROGER SOMMER ZI DE L ETOILE                             08300    RETHEL                             FR                                                                                                                                                                    
BFSEAE - JPO                         RUE ROGER SOMMER ZI DE L ETOILE                             08300    RETHEL                             FR                                                                                                                                                                    
C1   ????????        00000000020000015.53                                                                                                                                                                  165502              3281690247556
C2   ????????        00000000010000015.57                                                                                                                                                                  165502              3281690247518
C3   ????????        00000000010000007.79                                                                                                                                                                  165502              3281690247426
C4   ????????        00000000010000007.79                                                                                                                                                                  165502              3281690247433
C5   ????????        00000000010000007.79                                                                                                                                                                  165502              3281690247440
C6   ????????        000000000100000013.7                                                                                                                                                                  165502              3281690172254
C7   ????????        000000000100000013.7                                                                                                                                                                  165502              3281690172247
C8   ????????        00000000020000029.79                                                                                                                                                                  165502              3281690247051
C9   ????????        00000000020000032.76                                                                                                                                                                  165502              3281690246955
C10  ????????        00000000020000032.76                                                                                                                                                                  165502              3281690247242
C11  ????????        00000000010000027.27                                                                                                                                                                  165502              3281690247013
C12  ????????        000000000200000014.5                                                                                                                                                                  165502              3281690235201
C13  ????????        00000000020000014.47                                                                                                                                                                  165502              3281690235195
C14  ????????        00000000010000000030                                                                                                                                                                  165502              0123456789012
