A165512              ?240715        165512                                             DATE DE LIVRAISON : 240715 HEURE MINI :      HEURE MAXI :                     EUR 165512               3012810000105
BCFOIR'FOUILLE MONT DE MARSANS       ZC LE GRAND MOUN                                            40280    ST PIERRE DU MONT                  FR                                                   ff0260@lafoirfouille.fr                                                                                          
BLFOIR'FOUILLE MONT DE MARSANS       ZC LE GRAND MOUN                                            40280    ST PIERRE DU MONT                  FR                                                                                                                                                                    
BFFOIR'FOUILLE MONT DE MARSANS       ZC LE GRAND MOUN                                            40280    ST PIERRE DU MONT                  FR                                                                                                                                                                    
C1   ????????        00000000120000000.91                                                                                                                                                                  165512              7612720201457
C2   ????????        000000001200000003.5                                                                                                                                                                  165512              3284090152017
C3   ????????        000000000300000007.9                                                                                                                                                                  165512              3281690239711
C4   ????????        00000000480000000.55                                                                                                                                                                  165512              3284090002787
C5   ????????        00000000120000002.49                                                                                                                                                                  165512              3284090007812
C6   ????????        00000000060000001.05                                                                                                                                                                  165512              3284090512019
C7   ????????        000000000300000004.9                                                                                                                                                                  165512              3281690229521
C8   ????????        000000000400000004.9                                                                                                                                                                  165512              3281690229514
C9   ????????        000000000400000004.9                                                                                                                                                                  165512              3281690229507
C10  ????????        000000000300000004.9                                                                                                                                                                  165512              3281690229491
C11  ????????        000000001000000000.2                                                                                                                                                                  165512              3284090341008
C12  ????????        000000001000000000.3                                                                                                                                                                  165512              3284090004231
C13  ????????        00000000100000000000                                                                                                                                                                  165512              3284090004224
C14  ????????        00000000200000000.99                                                                                                                                                                  165512              3284090004262
C15  ????????        000000001000000000.3                                                                                                                                                                  165512              3284090424008
C16  ????????        000000001000000000.3                                                                                                                                                                  165512              3284090424015
C17  ????????        00000000040000009.99                                                                                                                                                                  165512              3284090139919
C18  ????????        000000000200000015.5                                                                                                                                                                  165512              3284091410338
C19  ????????        000000001200000001.7                                                                                                                                                                  165512              3284090001506
C20  ????????        000000001200000001.7                                                                                                                                                                  165512              3284090001513
C21  ????????        000000000300000004.8                                                                                                                                                                  165512              3284090197025
C22  ????????        000000000300000005.9                                                                                                                                                                  165512              3284090197018
C23  ????????        00000000400000001.12                                                                                                                                                                  165512              3382140073449
C24  ????????        000000000300000005.5                                                                                                                                                                  165512              3284090987107
C25  ????????        00000000400000001.05                                                                                                                                                                  165512              3382140073432
C26  ????????        00000000120000000.91                                                                                                                                                                  165512              7612720208746
C27  ????????        00000000080000001.49                                                                                                                                                                  165512              5902846837794
C28  ????????        00000000080000001.49                                                                                                                                                                  165512              5904224107710
C29  ????????        00000000150000001.99                                                                                                                                                                  165512              5060194138649
C30  ????????        00000000240000000.75                                                                                                                                                                  165512              5904224103798
C31  ????????        00000000240000000.75                                                                                                                                                                  165512              5902846835264
C32  ????????        00000000250000000.65                                                                                                                                                                  165512              3284090009779
C33  ????????        00000000360000001.09                                                                                                                                                                  165512              5904224102470
