A165515              ?240725        165515                                             DATE DE LIVRAISON : 240725 HEURE MINI :      HEURE MAXI :                     EUR 165515               3012810000105
BCSPAR SUPERMARCHE NOVALAISE         505 ROUTE DU LAC                                            73470    NOVALAISE                          FR                                                   sparnovalaise@orange.fr                                                                                          
BLSPAR SUPERMARCHE NOVALAISE         505 ROUTE DU LAC                                            73470    NOVALAISE                          FR                                                                                                                                                                    
BFSPAR SUPERMARCHE NOVALAISE         505 ROUTE DU LAC                                            73470    NOVALAISE                          FR                                                                                                                                                                    
C1   ????????        000000001200000001.1                                                                                                                                                                  165515              3284090001209
C2   ????????        000000002400000001.9                                                                                                                                                                  165515              3284090001407
C3   ????????        00000000040000005.45                                                                                                                                                                  165515              3284090001445
C4   ????????        000000000800000005.9                                                                                                                                                                  165515              3284090001438
C5   ????????        000000002000000000.9                                                                                                                                                                  165515              8410800067547
C6   ????????        000000001200000001.7                                                                                                                                                                  165515              3284090001469
C7   ????????        000000001200000001.5                                                                                                                                                                  165515              3281690250013
C8   ????????        000000000500000000.9                                                                                                                                                                  165515              3285160097047
C9   ????????        00000000010000002.25                                                                                                                                                                  165515              3284090006792
C10  ????????        000000000100000001.8                                                                                                                                                                  165515              3284090006808
C11  ????????        000000000200000002.5                                                                                                                                                                  165515              3284090006815
C12  ????????        000000000200000002.5                                                                                                                                                                  165515              3284090009342
C13  ????????        00000000010000000030                                                                                                                                                                  165515              0123456789012
