A165520              ?240729        165520                                             DATE DE LIVRAISON : 240729 HEURE MINI :      HEURE MAXI :                     EUR 165520               3012842644707
BCFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                        vesoul@feuvert.fr                                                                                                
BLFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                                                                                                                                         
BFFEU VERT VESOUL PUSEY              ZONE DE L'OASIS                                             70000    PUSEY                              FR 0384961554                                                                                                                                                         
C1   ????????        00000000020000005.94                                                                                                                                                                  165520              3281690137581
C2   ????????        00000000020000008.16                                                                                                                                                                  165520              3281690226681
C3   ????????        00000000020000000018                                                                                                                                                                  165520              3281690246931
C4   ????????        00000000020000005.78                                                                                                                                                                  165520              3281690247532
C5   ????????        00000000020000014.76                                                                                                                                                                  165520              3281690247488
C6   ????????        00000000020000017.33                                                                                                                                                                  165520              3281690247525
C7   ????????        000000000100000016.9                                                                                                                                                                  165520              3281690235386
C8   ????????        00000000020000000004                                                                                                                                                                  165520              3284090002022
C9   ????????        00000000020000000004                                                                                                                                                                  165520              3284090002367
C10  ????????        00000000020000000004                                                                                                                                                                  165520              3284090002381
C11  ????????        000000000300000005.5                                                                                                                                                                  165520              3281690229491
C12  ????????        000000000200000008.5                                                                                                                                                                  165520              3281690235409
C13  ????????        00000000020000005.29                                                                                                                                                                  165520              3281690225981
C14  ????????        00000000010000007.92                                                                                                                                                                  165520              3281690226001
