A165522              ?240731        165522                                             DATE DE LIVRAISON : 240731 HEURE MINI :      HEURE MAXI :                     EUR 165522               0
BCAUTO LECLERC COLMAR                95 ROUTE DE NEUF BRISACH                                    68000    COLMAR                             FR                                                   dmarcantoni@gti-sodifac.com                                                                                      
BLAUTO LECLERC COLMAR                95 ROUTE DE NEUF BRISACH                                    68000    COLMAR                             FR                                                                                                                                                                    
BFAUTO LECLERC COLMAR                95 ROUTE DE NEUF BRISACH                                    68000    COLMAR                             FR                                                                                                                                                                    
C1   ????????        000000000100000026.9                                                                                                                                                                  165522              3281690244357
C2   ????????        00000000030000015.88                                                                                                                                                                  165522              3281690244432
C3   ????????        00000000010000065.95                                                                                                                                                                  165522              3281690244838
C4   ????????        00000000010000069.95                                                                                                                                                                  165522              3281690244845
C5   ????????        00000000010000075.95                                                                                                                                                                  165522              3281690244852
C6   ????????        00000000010000079.95                                                                                                                                                                  165522              3281690244869
C7   ????????        00000000010000084.95                                                                                                                                                                  165522              3281690244876
C8   ????????        000000000100000037.8                                                                                                                                                                  165522              3281690247129
C9   ????????        00000000010000000025                                                                                                                                                                  165522              3281690247020
C10  ????????        00000000010000000030                                                                                                                                                                  165522              3281690247273
C11  ????????        00000000020000004.75                                                                                                                                                                  165522              3281690247532
C12  ????????        000000000200000007.2                                                                                                                                                                  165522              3281690247433
C13  ????????        000000000300000007.5                                                                                                                                                                  165522              3281690190081
C14  ????????        000000000200000006.3                                                                                                                                                                  165522              3281690174166
C15  ????????        00000000020000005.15                                                                                                                                                                  165522              3281690184028
C16  ????????        00000000010000011.14                                                                                                                                                                  165522              3281690225004
C17  ????????        00000000010000011.14                                                                                                                                                                  165522              3281690225011
C18  ????????        00000000010000005.55                                                                                                                                                                  165522              3281690137581
C19  ????????        00000000020000019.62                                                                                                                                                                  165522              3281690164570
C20  ????????        00000000020000015.16                                                                                                                                                                  165522              3281690235669
C21  ????????        00000000010000006.25                                                                                                                                                                  165522              3281690164525
C22  ????????        000000000200000012.4                                                                                                                                                                  165522              3281690164556
C23  ????????        00000000040000001.62                                                                                                                                                                  165522              3281690202555
C24  ????????        00000000020000007.49                                                                                                                                                                  165522              3281690245903
C25  ????????        000000000300000021.9                                                                                                                                                                  165522              3281690247143
