A165526              ?240802        165526                                             DATE DE LIVRAISON : 240802 HEURE MINI :      HEURE MAXI :                     EUR 165526               0
BCROADY MONTGISCARD                  ZC EN ROUZAUD RD 813                                        31450    MONTGISCARD                        FR                                                   sblais@gti-sodifac.com                                                                                           
BLROADY MONTGISCARD                  ZC EN ROUZAUD RD 813                                        31450    MONTGISCARD                        FR                                                                                                                                                                    
BFROADY MONTGISCARD                  ZC EN ROUZAUD RD 813                                        31450    MONTGISCARD                        FR                                                                                                                                                                    
C1   ????????        000000000200000009.6                                                                                                                                                                  165526              3281690247471
C2   ????????        000000000100000012.1                                                                                                                                                                  165526              3281690247501
C3   ????????        000000000200000012.1                                                                                                                                                                  165526              3281690247549
C4   ????????        000000000400000006.1                                                                                                                                                                  165526              3281690247532
C5   ????????        000000000100000018.8                                                                                                                                                                  165526              3281690247303
C6   ????????        000000000100000037.2                                                                                                                                                                  165526              3281690246948
C7   ????????        00000000020000008.22                                                                                                                                                                  165526              3281690164501
C8   ????????        00000000010000023.18                                                                                                                                                                  165526              3281690244418
C9   ????????        00000000010000024.41                                                                                                                                                                  165526              3281690244425
C10  ????????        00000000010000026.45                                                                                                                                                                  165526              3281690244432
C11  ????????        00000000010000031.87                                                                                                                                                                  165526              3281690244449
