A165531              ?240805        165531                                             DATE DE LIVRAISON : 240805 HEURE MINI :      HEURE MAXI :                     EUR 165531               60150764627130
BCPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                   points-thourotte@points.fr                                                                                       
BLPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
BFPOINT S THOUROTTE                  ZAC DU GROS GRELOT AVENUE FRANCOIS MITTERAND                60150    THOUROTTE                          FR                                                                                                                                                                    
C1   ????????        00000000020000018.99                                                                                                                                                                  165531              3281690247235
C2   ????????        000000000200000010.8                                                                                                                                                                  165531              3284090009939
C3   ????????        00000000020000017.91                                                                                                                                                                  165531              3284090006785
C4   ????????        00000000080000001.94                                                                                                                                                                  165531              5902846837800
C5   ????????        00000000080000001.94                                                                                                                                                                  165531              5904224107710
C6   ????????        00000000080000001.94                                                                                                                                                                  165531              5904224107765
C7   ????????        00000000020000011.81                                                                                                                                                                  165531              3281690164563
C8   ????????        000000000100000028.8                                                                                                                                                                  165531              3284090006921
C9   ????????        00000000120000000.95                                                                                                                                                                  165531              7612720201914
C10  ????????        00000000020000006.21                                                                                                                                                                  165531              3284090005160
C11  ????????        00000000020000008.78                                                                                                                                                                  165531              3281690170960
C12  ????????        00000000100000006.29                                                                                                                                                                  165531              3284090009441
C13  ????????        00000000200000001.98                                                                                                                                                                  165531              3284090001407
