A165548              ?240821        165548                                             DATE DE LIVRAISON : 240821 HEURE MINI :      HEURE MAXI :                     EUR 165548               3012810000105
BCAUTO LECLERC AUCH                  LIEU DIT CLARAC                                             32000    AUCH                               FR                                                   yacine.mazouz@auch.leclerc                                                                                       
BLAUTO LECLERC AUCH                  LIEU DIT CLARAC                                             32000    AUCH                               FR                                                                                                                                                                    
BFAUTO LECLERC AUCH                  LIEU DIT CLARAC                                             32000    AUCH                               FR                                                                                                                                                                    
C1   ????????        000000000300000005.7                                                                                                                                                                  165548              3281690185889
C2   ????????        00000000030000005.55                                                                                                                                                                  165548              3281690137581
C3   ????????        000000000400000007.4                                                                                                                                                                  165548              3281690174883
C4   ????????        000000000400000006.3                                                                                                                                                                  165548              3281690174166
C5   ????????        00000000040000009.99                                                                                                                                                                  165548              3281690187142
C6   ????????        00000000040000005.15                                                                                                                                                                  165548              3281690184028
C7   ????????        000000000400000005.7                                                                                                                                                                  165548              3281690185872
C8   ????????        000000000400000002.8                                                                                                                                                                  165548              3284090007874
C9   ????????        000000000300000003.9                                                                                                                                                                  165548              3284090009793
C10  ????????        000000000400000013.6                                                                                                                                                                  165548              3281690247136
C11  ????????        000000000100000021.9                                                                                                                                                                  165548              3281690247143
C12  ????????        00000000020000014.25                                                                                                                                                                  165548              3281690247563
C13  ????????        00000000020000017.35                                                                                                                                                                  165548              3281690247082
C14  ????????        00000000010000000030                                                                                                                                                                  165548              3281690247099
C15  ????????        00000000030000014.25                                                                                                                                                                  165548              3281690247525
C16  ????????        000000000300000007.2                                                                                                                                                                  165548              3281690247433
C17  ????????        00000000040000017.35                                                                                                                                                                  165548              3281690247235
C18  ????????        00000000030000017.35                                                                                                                                                                  165548              3281690246979
C19  ????????        000000000200000019.9                                                                                                                                                                  165548              3281690247105
C20  ????????        00000000030000036.75                                                                                                                                                                  165548              3281690247112
C21  ????????        00000000020000027.25                                                                                                                                                                  165548              3281690247051
C22  ????????        00000000020000014.95                                                                                                                                                                  165548              3281690247006
C23  ????????        00000000010000000025                                                                                                                                                                  165548              3281690247013
C24  ????????        00000000010000000025                                                                                                                                                                  165548              3281690247020
C25  ????????        00000000010000017.35                                                                                                                                                                  165548              3281690247068
C26  ????????        000000000200000013.2                                                                                                                                                                  165548              3281690247495
C27  ????????        000000000300000012.2                                                                                                                                                                  165548              3281690247488
C28  ????????        00000000030000004.75                                                                                                                                                                  165548              3281690247532
C29  ????????        00000000020000017.35                                                                                                                                                                  165548              3281690246931
C30  ????????        00000000040000000030                                                                                                                                                                  165548              3281690246948
C31  ????????        000000000200000025.8                                                                                                                                                                  165548              3281690247211
C32  ????????        00000000010000000030                                                                                                                                                                  165548              3281690247181
C33  ????????        000000000300000008.4                                                                                                                                                                  165548              3281690244142
C34  ????????        00000000030000005.99                                                                                                                                                                  165548              3281690226438
C35  ????????        00000000020000011.46                                                                                                                                                                  165548              3281690244470
C36  ????????        00000000020000010.31                                                                                                                                                                  165548              3281690244463
C37  ????????        00000000020000012.54                                                                                                                                                                  165548              3281690244487
C38  ????????        000000000200000007.2                                                                                                                                                                  165548              3281690247440
C39  ????????        00000000020000004.58                                                                                                                                                                  165548              3281690164419
C40  ????????        00000000030000005.32                                                                                                                                                                  165548              3281690225981
C41  ????????        00000000030000007.75                                                                                                                                                                  165548              3281690226001
