A165555              ?240829        165555                                             DATE DE LIVRAISON : 240829 HEURE MINI :      HEURE MAXI :                     EUR 165555               2230065423980
BCROADY PAIMPOL                      27 rue raymond pellier                                      22500    PAIMPOL                            FR                                                   pdv09450@mousquetaires.com                                                                                       
BLROADY PAIMPOL                      27 rue raymond pellier                                      22500    PAIMPOL                            FR                                                                                                                                                                    
BFROADY PAIMPOL                      27 rue raymond pellier                                      22500    PAIMPOL                            FR                                                                                                                                                                    
C1   ????????        00000000010000047.67                                                                                                                                                                  165555              3281690244388
C2   ????????        00000000010000045.46                                                                                                                                                                  165555              3281690244371
C3   ????????        00000000010000037.89                                                                                                                                                                  165555              3281690244357
C4   ????????        00000000010000024.41                                                                                                                                                                  165555              3281690244425
C5   ????????        00000000020000008.22                                                                                                                                                                  165555              3281690164501
C6   ????????        00000000020000009.25                                                                                                                                                                  165555              3281690199732
C7   ????????        00000000010000011.55                                                                                                                                                                  165555              3281690164549
C8   ????????        00000000020000012.62                                                                                                                                                                  165555              3281690164525
C9   ????????        00000000020000008.23                                                                                                                                                                  165555              3281690224540
C10  ????????        00000000020000008.23                                                                                                                                                                  165555              3281690224564
C11  ????????        00000000020000023.49                                                                                                                                                                  165555              3281690228289
C12  ????????        000000000200000037.2                                                                                                                                                                  165555              3281690247099
C13  ????????        00000000010000000008                                                                                                                                                                  165555              0123456789012
