A165565              ?240909        165565                                             DATE DE LIVRAISON : 240909 HEURE MINI :      HEURE MAXI :                     EUR 165565               3012842644264
BCFEU VERT CREYSSE                   ROND POINT PORTE DE LA DORDOGNE ZAC LA NAUVE                24100    CREYSSE                            FR                                                   creysse@feuvert.fr                                                                                               
BLFEU VERT CREYSSE                   ROND POINT PORTE DE LA DORDOGNE ZAC LA NAUVE                24100    CREYSSE                            FR                                                                                                                                                                    
BFFEU VERT CREYSSE                   ROND POINT PORTE DE LA DORDOGNE ZAC LA NAUVE                24100    CREYSSE                            FR                                                                                                                                                                    
C1   ????????        00000000410000001.06                                                                                                                                                                  165565              3284090512019
C2   ????????        00000000020000004.99                                                                                                                                                                  165565              3281690184028
C3   ????????        00000000010000010.81                                                                                                                                                                  165565              3281690177273
C4   ????????        00000000020000014.24                                                                                                                                                                  165565              3281690222140
C5   ????????        000000000400000006.5                                                                                                                                                                  165565              3281690224540
C6   ????????        00000000030000012.05                                                                                                                                                                  165565              3281690236987
C7   ????????        000000000300000012.5                                                                                                                                                                  165565              3281690194867
C8   ????????        00000000030000011.75                                                                                                                                                                  165565              3281690227329
C9   ????????        00000000030000018.95                                                                                                                                                                  165565              3281690247082
C10  ????????        00000000010000017.32                                                                                                                                                                  165565              3281690247006
C11  ????????        000000000100000017.5                                                                                                                                                                  165565              3281690247235
C12  ????????        00000000020000010.33                                                                                                                                                                  165565              3281690223475
C13  ????????        00000000010000012.25                                                                                                                                                                  165565              3281690185841
C14  ????????        00000000010000009.24                                                                                                                                                                  165565              3281690226438
