A165566              ?240909        165566                                             DATE DE LIVRAISON : 240909 HEURE MINI :      HEURE MAXI :                     EUR 165566               33190764627130
BCPOINT S LA REOLE                   SARL KALETIEN ZI DE FRIMONT                                 33190    LA REOLE                           FR                                                   kaletien@points.fr                                                                                               
BLPOINT S LA REOLE                   SARL KALETIEN ZI DE FRIMONT                                 33190    LA REOLE                           FR                                                                                                                                                                    
BFPOINT S LA REOLE                   SARL KALETIEN ZI DE FRIMONT                                 33190    LA REOLE                           FR                                                                                                                                                                    
C1   ????????        00000000020000007.79                                                                                                                                                                  165566              3281690247426
C2   ????????        00000000020000007.79                                                                                                                                                                  165566              3281690247440
C3   ????????        00000000010000010.26                                                                                                                                                                  165566              3281690247501
C4   ????????        00000000010000015.57                                                                                                                                                                  165566              3281690247464
C5   ????????        00000000010000015.57                                                                                                                                                                  165566              3281690247525
C6   ????????        00000000010000032.76                                                                                                                                                                  165566              3281690247099
C7   ????????        00000000020000003.65                                                                                                                                                                  165566              3281690226568
C8   ????????        00000000020000006.26                                                                                                                                                                  165566              3281690185872
C9   ????????        00000000020000004.88                                                                                                                                                                  165566              3281690241325
C10  ????????        00000000020000013.31                                                                                                                                                                  165566              3281690164532
C11  ????????        00000000020000009.84                                                                                                                                                                  165566              3281690164549
C12  ????????        00000000020000011.81                                                                                                                                                                  165566              3281690164563
C13  ????????        000000000300000013.5                                                                                                                                                                  165566              3281690164754
C14  ????????        00000000020000013.08                                                                                                                                                                  165566              3281690141922
C15  ????????        00000000060000002.78                                                                                                                                                                  165566              3281690222300
C16  ????????        00000000040000001.93                                                                                                                                                                  165566              3281690202555
C17  ????????        00000000060000001.22                                                                                                                                                                  165566              3284090512019
C18  ????????        000000000400000004.1                                                                                                                                                                  165566              3284090002022
C19  ????????        00000000040000004.94                                                                                                                                                                  165566              3284090002367
C20  ????????        000000000400000004.1                                                                                                                                                                  165566              3284090002381
C21  ????????        00000000120000002.25                                                                                                                                                                  165566              3281690250105
