A165594              ?240930        165594                                             DATE DE LIVRAISON : 240930 HEURE MINI :      HEURE MAXI :                     EUR 165594               
BCFEU VERT LUNEVILLE                 ANCIEN CHEMIN DE LUNEVILLE                                  54300    MONCEL LES LUNEVILLE               FR                                                   luneville@feuvert.fr                                                                                             
BLFEU VERT LUNEVILLE                 ANCIEN CHEMIN DE LUNEVILLE                                  54300    MONCEL LES LUNEVILLE               FR                                                                                                                                                                    
BFFEU VERT LUNEVILLE                 ANCIEN CHEMIN DE LUNEVILLE                                  54300    MONCEL LES LUNEVILLE               FR                                                                                                                                                                    
C1   ????????        00000000010000024.88                                                                                                                                                                  165594              3281690201664
C2   ????????        00000000010000038.38                                                                                                                                                                  165594              3281690247280
C3   ????????        000000000200000017.5                                                                                                                                                                  165594              3281690247235
C4   ????????        00000000020000015.28                                                                                                                                                                  165594              3281690247150
C5   ????????        00000000010000026.32                                                                                                                                                                  165594              3281690247167
C6   ????????        000000000100000024.7                                                                                                                                                                  165594              3281690247143
C7   ????????        00000000020000036.59                                                                                                                                                                  165594              3281690246948
C8   ????????        000000000100000036.9                                                                                                                                                                  165594              3281690247075
C9   ????????        000000001000000000.3                                                                                                                                                                  165594              3284090341008
C10  ????????        000000001000000000.4                                                                                                                                                                  165594              3284090343019
C11  ????????        000000000100000004.9                                                                                                                                                                  165594              3284090976040
C12  ????????        000000001200000001.6                                                                                                                                                                  165594              5904224107741
C13  ????????        000000000600000001.6                                                                                                                                                                  165594              5907718925470
C14  ????????        000000000800000001.9                                                                                                                                                                  165594              5907718921205
C15  ????????        000000000800000001.9                                                                                                                                                                  165594              5907718921038
C16  ????????        000000000800000001.9                                                                                                                                                                  165594              5907718920932
C17  ????????        00000000030000008.96                                                                                                                                                                  165594              3281690226476
C18  ????????        00000000030000008.32                                                                                                                                                                  165594              3281690190081
