A165602              ?241002        165602                                             DATE DE LIVRAISON : 241002 HEURE MINI :      HEURE MAXI :                     EUR 165602               1820000000001
BCROADY ORVAL                        PARKING BRICOMARCHE ZAC DES NOIX BRULEES                    18200    ORVAL                              FR                                                   pdv02212@mousquetaires.com                                                                                       
BLROADY ORVAL                        PARKING BRICOMARCHE ZAC DES NOIX BRULEES                    18200    ORVAL                              FR                                                                                                                                                                    
BFROADY ORVAL                        PARKING BRICOMARCHE ZAC DES NOIX BRULEES                    18200    ORVAL                              FR                                                                                                                                                                    
C1   ????????        00000000100000010.51                                                                                                                                                                  165602              3284090009991
C2   ????????        00000000100000007.26                                                                                                                                                                  165602              3284090009984
C3   ????????        00000000100000005.17                                                                                                                                                                  165602              3284090009793
C4   ????????        00000000010000023.18                                                                                                                                                                  165602              3281690244418
C5   ????????        000000000100000019.2                                                                                                                                                                  165602              3281690247006
C6   ????????        000000000100000027.8                                                                                                                                                                  165602              3281690247167
C7   ????????        00000000020000006.87                                                                                                                                                                  165602              3281690225981
C8   ????????        00000000020000009.88                                                                                                                                                                  165602              3281690226001
C9   ????????        00000000010000013.97                                                                                                                                                                  165602              3281690187166
C10  ????????        000000000100000013.7                                                                                                                                                                  165602              3281690187210
C11  ????????        00000000020000005.84                                                                                                                                                                  165602              3281690189191
C12  ????????        00000000020000013.75                                                                                                                                                                  165602              3519911500075
C13  ????????        00000000020000015.97                                                                                                                                                                  165602              3281690201725
C14  ????????        00000000010000017.98                                                                                                                                                                  165602              3281690237007
C15  ????????        00000000050000006.49                                                                                                                                                                  165602              3284090009816
