A165610              ?241009        165610                                             DATE DE LIVRAISON : 241009 HEURE MINI :      HEURE MAXI :                     EUR 165610               61300764627130
BCPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                   centreautorisle@points.fr                                                                                        
BLPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                                                                                                                                    
BFPOINT S L'AIGLE                    4 AVENUE KENNEDY CENTRE AUTO DE LA RISLE                    61300    L AIGLE                            FR                                                                                                                                                                    
C1   ????????        00000000020000013.15                                                                                                                                                                  165610              3281690222140
C2   ????????        00000000020000008.42                                                                                                                                                                  165610              3281690199732
C3   ????????        00000000010000013.31                                                                                                                                                                  165610              3281690164532
C4   ????????        00000000020000025.05                                                                                                                                                                  165610              3281690191767
C5   ????????        00000000100000006.49                                                                                                                                                                  165610              3284090920012
C6   ????????        00000000020000015.09                                                                                                                                                                  165610              3281690235669
C7   ????????        00000000020000012.78                                                                                                                                                                  165610              3281690164525
C8   ????????        00000000010000009.84                                                                                                                                                                  165610              3281690164549
C9   ????????        00000000020000030.33                                                                                                                                                                  165610              3281690244357
C10  ????????        00000000010000004.22                                                                                                                                                                  165610              3281690230206
C11  ????????        00000000010000002.78                                                                                                                                                                  165610              3284090005092
C12  ????????        00000000010000004.82                                                                                                                                                                  165610              3281690202579
C13  ????????        00000000010000001.73                                                                                                                                                                  165610              3284090005283
