A165611              ?241009        165611                                             DATE DE LIVRAISON : 241009 HEURE MINI :      HEURE MAXI :                     EUR 165611               7150013658940
BCJAD PIECES AUTO                    49 RUE DU GUIDON                                            71500    LOUHANS                            FR                                                   autopiecesjad@gmail.com                                                                                          
BLJAD PIECES AUTO                    49 RUE DU GUIDON                                            71500    LOUHANS                            FR                                                                                                                                                                    
BFJAD PIECES AUTO                    49 RUE DU GUIDON                                            71500    LOUHANS                            FR                                                                                                                                                                    
C1   ????????        000000000200000013.1                                                                                                                                                                  165611              3284091410291
C2   ????????        000000000100000013.1                                                                                                                                                                  165611              3284091410314
C3   ????????        000000000200000006.5                                                                                                                                                                  165611              3281690241820
C4   ????????        000000000300000000.9                                                                                                                                                                  165611              3285160097047
C5   ????????        00000000020000003.15                                                                                                                                                                  165611              3284090541125
C6   ????????        00000000020000005.95                                                                                                                                                                  165611              3284090920012
C7   ????????        000000000400000014.9                                                                                                                                                                  165611              3284090719012
C8   ????????        000000000500000044.9                                                                                                                                                                  165611              3281690250976
C9   ????????        00000000010000008.79                                                                                                                                                                  165611              3281690164778
C10  ????????        00000000010000008.79                                                                                                                                                                  165611              3281690170960
C11  ????????        000000000300000024.9                                                                                                                                                                  165611              8430046134643
C12  ????????        000000000300000002.1                                                                                                                                                                  165611              3284090005115
C13  ????????        000000001200000003.5                                                                                                                                                                  165611              3284090007850
C14  ????????        00000000010000000008                                                                                                                                                                  165611              0123456789012
