A165612              ?241009        165612                                             DATE DE LIVRAISON : 241009 HEURE MINI :      HEURE MAXI :                     EUR 165612               
BCPOINT S Chauffailles               359 ROUTE DES ETANGS                                        71170    CHAUFFAILLES                       FR 0385268073                                        Jalj@points.fr                                                                                                   
BLPOINT S Chauffailles               359 ROUTE DES ETANGS                                        71170    CHAUFFAILLES                       FR 0385268073                                                                                                                                                         
BFPOINT S Chauffailles               359 ROUTE DES ETANGS                                        71170    CHAUFFAILLES                       FR 0385268073                                                                                                                                                         
C1   ????????        00000000010000079.11                                                                                                                                                                  165612              3281690244845
C2   ????????        00000000010000085.41                                                                                                                                                                  165612              3281690244852
C3   ????????        00000000010000008.19                                                                                                                                                                  165612              3281690247471
C4   ????????        00000000010000005.22                                                                                                                                                                  165612              3281690247532
C5   ????????        00000000010000017.01                                                                                                                                                                  165612              3281690244425
C6   ????????        00000000010000016.07                                                                                                                                                                  165612              3281690164556
C7   ????????        00000000010000015.09                                                                                                                                                                  165612              3281690235669
C8   ????????        00000000010000012.74                                                                                                                                                                  165612              3284091510366
C9   ????????        00000000010000012.74                                                                                                                                                                  165612              3284091510359
C10  ????????        00000000010000015.75                                                                                                                                                                  165612              3284091510335
C11  ????????        00000000010000012.74                                                                                                                                                                  165612              3284091510311
C12  ????????        00000000010000012.74                                                                                                                                                                  165612              3284091510281
C13  ????????        00000000010000015.49                                                                                                                                                                  165612              3284091610356
C14  ????????        00000000010000015.49                                                                                                                                                                  165612              3284091610295
C15  ????????        00000000010000015.49                                                                                                                                                                  165612              3284091610288
C16  ????????        00000000010000007.79                                                                                                                                                                  165612              3281690233634
C17  ????????        00000000010000006.26                                                                                                                                                                  165612              3281690187524
C18  ????????        00000000010000007.64                                                                                                                                                                  165612              3281690243633
C19  ????????        00000000010000007.64                                                                                                                                                                  165612              3281690243640
C20  ????????        00000000010000000.95                                                                                                                                                                  165612              7612720201013
C21  ????????        00000000120000000.95                                                                                                                                                                  165612              7612720201976
