A165613              ?241010        165613                                             DATE DE LIVRAISON : 241010 HEURE MINI :      HEURE MAXI :                     EUR 165613               
BCAUTO LECLERC VILLENEUVE SUR LO     CENTRE AUTO LECLERC 1304251 LA JUSTICE ROUTE DE FUMEL       47300    VILLENEUVE SUR LOT                 FR                                                   theo.louchet@villeneuvesurlot.leclerc                                                                            
BLAUTO LECLERC VILLENEUVE SUR LO     CENTRE AUTO LECLERC 1304251 LA JUSTICE ROUTE DE FUMEL       47300    VILLENEUVE SUR LOT                 FR                                                                                                                                                                    
BFAUTO LECLERC VILLENEUVE SUR LO     CENTRE AUTO LECLERC 1304251 LA JUSTICE ROUTE DE FUMEL       47300    VILLENEUVE SUR LOT                 FR                                                                                                                                                                    
C1   ????????        00000000080000002.99                                                                                                                                                                  165613              3306430000236
C2   ????????        000000001000000006.3                                                                                                                                                                  165613              3306430000243
C3   ????????        00000000040000003.95                                                                                                                                                                  165613              3284090009151
C4   ????????        00000000030000005.35                                                                                                                                                                  165613              3284090009816
C5   ????????        00000000040000007.75                                                                                                                                                                  165613              3281690226001
C6   ????????        00000000020000013.65                                                                                                                                                                  165613              3281690237014
C7   ????????        00000000020000005.32                                                                                                                                                                  165613              3281690225981
C8   ????????        00000000020000009.99                                                                                                                                                                  165613              3281690187142
C9   ????????        00000000010000000015                                                                                                                                                                  165613              3284091510335
C10  ????????        00000000010000005.15                                                                                                                                                                  165613              3281690184028
C11  ????????        000000000300000012.5                                                                                                                                                                  165613              3281690247150
C12  ????????        000000001000000002.1                                                                                                                                                                  165613              3284090005115
C13  ????????        00000000010000010.12                                                                                                                                                                  165613              3281690201824
C14  ????????        000000000200000012.7                                                                                                                                                                  165613              3284091510359
C15  ????????        00000000050000002.15                                                                                                                                                                  165613              3284090598013
C16  ????????        000000000200000005.7                                                                                                                                                                  165613              3281690187524
C17  ????????        000000000300000008.5                                                                                                                                                                  165613              3281690226575
C18  ????????        00000000020000006.25                                                                                                                                                                  165613              3281690164525
C19  ????????        00000000080000003.74                                                                                                                                                                  165613              3281690187661
C20  ????????        000000000100000015.9                                                                                                                                                                  165613              3281690235270
C21  ????????        00000000100000010.99                                                                                                                                                                  165613              3284090699420
C22  ????????        000000000300000003.7                                                                                                                                                                  165613              3281690226568
C23  ????????        00000000010000008.99                                                                                                                                                                  165613              3281690201916
C24  ????????        000000000200000005.7                                                                                                                                                                  165613              3281690185872
C25  ????????        00000000020000017.35                                                                                                                                                                  165613              3281690247174
C26  ????????        00000000010000010.99                                                                                                                                                                  165613              3281690201923
C27  ????????        000000000200000004.2                                                                                                                                                                  165613              3284090862015
C28  ????????        000000000100000007.5                                                                                                                                                                  165613              3281690190081
C29  ????????        000000000200000014.5                                                                                                                                                                  165613              3284091410338
C30  ????????        000000000100000011.9                                                                                                                                                                  165613              3284091310355
C31  ????????        000000000100000007.9                                                                                                                                                                  165613              8005874000011
C32  ????????        00000000010000000007                                                                                                                                                                  165613              3281690234310
C33  ????????        000000000200000022.9                                                                                                                                                                  165613              3281690245057
C34  ????????        00000000030000002.95                                                                                                                                                                  165613              3284090197049
C35  ????????        000000000100000016.9                                                                                                                                                                  165613              3284090689018
C36  ????????        00000000040000009.65                                                                                                                                                                  165613              3281690164778
C37  ????????        00000000040000009.65                                                                                                                                                                  165613              3281690170960
