A165627              ?241014        165627                                             DATE DE LIVRAISON : 241014 HEURE MINI :      HEURE MAXI :                     EUR 165627               3012842642635
BCFEU VERT FECAMP ST LEONARD         1730 ROUTE DU HAVRE                                         76400    SAINT LEONARD                      FR                                                   saintleonard@feuvert.fr                                                                                          
BLFEU VERT FECAMP ST LEONARD         1730 ROUTE DU HAVRE                                         76400    SAINT LEONARD                      FR                                                                                                                                                                    
BFFEU VERT FECAMP ST LEONARD         1730 ROUTE DU HAVRE                                         76400    SAINT LEONARD                      FR                                                                                                                                                                    
C1   ????????        00000000010000345.84                                                                                                                                                                  165627              3281690237816
C2   ????????        00000000010000000000                                                                                                                                                                  165627              3281690250136
C3   ????????        00000000020000000000                                                                                                                                                                  165627              3281690245774
C4   ????????        00000000010000000000                                                                                                                                                                  165627              3281690249215
C5   ????????        00000000050000000000                                                                                                                                                                  165627              3281690249277
C6   ????????        00000000040000000000                                                                                                                                                                  165627              3281690249284
C7   ????????        00000000040000000000                                                                                                                                                                  165627              3281690249291
C8   ????????        00000000040000000000                                                                                                                                                                  165627              3281690249307
C9   ????????        00000000030000000000                                                                                                                                                                  165627              3281690249314
C10  ????????        00000000030000000000                                                                                                                                                                  165627              3281690249321
C11  ????????        00000000020000000000                                                                                                                                                                  165627              3281690249338
C12  ????????        00000000020000000000                                                                                                                                                                  165627              3281690249352
C13  ????????        00000000040000000000                                                                                                                                                                  165627              3281690249222
C14  ????????        00000000040000000000                                                                                                                                                                  165627              3281690249239
C15  ????????        00000000040000000000                                                                                                                                                                  165627              3281690249246
C16  ????????        00000000030000000000                                                                                                                                                                  165627              3281690249253
C17  ????????        00000000020000004.94                                                                                                                                                                  165627              3281690223031
C18  ????????        00000000020000004.94                                                                                                                                                                  165627              3281690223024
C19  ????????        00000000020000004.94                                                                                                                                                                  165627              3281690202579
