A165643              ?241025        165643                                             DATE DE LIVRAISON : 241025 HEURE MINI :      HEURE MAXI :                     EUR 165643               
BCCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                   c.blachon@centrautoplaine.fr                                                                                     
BLCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                                                                                                                                    
BFCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                                                                                                                                    
C1   ????????        000000000100000004.6                                                                                                                                                                  165643              3284090999308
C2   ????????        000000000200000002.5                                                                                                                                                                  165643              5905179471024
C3   ????????        000000000200000002.5                                                                                                                                                                  165643              5905179471246
C4   ????????        000000000100000011.5                                                                                                                                                                  165643              3281690250990
C5   ????????        000000000100000023.9                                                                                                                                                                  165643              3281690251003
C6   ????????        000000000100000020.9                                                                                                                                                                  165643              3281690251010
C7   ????????        00000000010000007.99                                                                                                                                                                  165643              3284090699406
C8   ????????        00000000020000013.49                                                                                                                                                                  165643              3519911500068
C9   ????????        00000000010000013.29                                                                                                                                                                  165643              3281690164556
C10  ????????        00000000030000011.75                                                                                                                                                                  165643              3281690179796
C11  ????????        00000000010000006.39                                                                                                                                                                  165643              3281690192108
C12  ????????        00000000010000007.99                                                                                                                                                                  165643              3281690199732
C13  ????????        00000000020000011.99                                                                                                                                                                  165643              3281690201725
C14  ????????        000000000100000008.1                                                                                                                                                                  165643              3281690226476
C15  ????????        00000000010000015.78                                                                                                                                                                  165643              3281690235669
C16  ????????        000000000200000006.9                                                                                                                                                                  165643              3281690241820
C17  ????????        00000000010000032.09                                                                                                                                                                  165643              3281690244364
C18  ????????        00000000010000003.99                                                                                                                                                                  165643              3281690245842
C19  ????????        00000000010000032.76                                                                                                                                                                  165643              3281690246955
C20  ????????        00000000010000014.85                                                                                                                                                                  165643              3281690247136
C21  ????????        00000000010000013.68                                                                                                                                                                  165643              3281690247150
C22  ????????        00000000010000023.58                                                                                                                                                                  165643              3281690247167
C23  ????????        00000000010000016.38                                                                                                                                                                  165643              3281690247204
C24  ????????        00000000030000018.99                                                                                                                                                                  165643              3281690247266
C25  ????????        00000000010000015.57                                                                                                                                                                  165643              3281690247525
C26  ????????        00000000010000005.22                                                                                                                                                                  165643              3281690247532
C27  ????????        00000000010000015.45                                                                                                                                                                  165643              3519910203793
C28  ????????        00000000010000015.45                                                                                                                                                                  165643              3281690231586
C29  ????????        00000000010000015.45                                                                                                                                                                  165643              3281690237168
C30  ????????        00000000010000015.45                                                                                                                                                                  165643              3281690235133
