A165644              ?241025        165644                                             DATE DE LIVRAISON : 241025 HEURE MINI :      HEURE MAXI :                     EUR 165644               3012810000105
BCPOINT S Chauffailles               359 ROUTE DES ETANGS                                        71170    CHAUFFAILLES                       FR 0385268073                                        Jalj@points.fr                                                                                                   
BLPOINT S Chauffailles               359 ROUTE DES ETANGS                                        71170    CHAUFFAILLES                       FR 0385268073                                                                                                                                                         
BFPOINT S Chauffailles               359 ROUTE DES ETANGS                                        71170    CHAUFFAILLES                       FR 0385268073                                                                                                                                                         
C1   ????????        00000000400000004.05                                                                                                                                                                  165644              3284090001421
C2   ????????        00000000010000004.84                                                                                                                                                                  165644              3281690187654
C3   ????????        00000000010000004.84                                                                                                                                                                  165644              3281690187661
C4   ????????        00000000020000008.19                                                                                                                                                                  165644              3281690247471
C5   ????????        00000000010000006.21                                                                                                                                                                  165644              3284090005160
C6   ????????        00000000010000000000                                                                                                                                                                  165644              3281690253205
C7   ????????        00000000120000002.18                                                                                                                                                                  165644              5904224108984
C8   ????????        00000000010000003.47                                                                                                                                                                  165644              3284090006334
C9   ????????        00000000120000002.18                                                                                                                                                                  165644              5904224108977
C10  ????????        00000000240000000.82                                                                                                                                                                  165644              5902846832799
C11  ????????        00000000240000000.82                                                                                                                                                                  165644              5902846831167
C12  ????????        00000000120000002.18                                                                                                                                                                  165644              5904224108960
