A165651              ?241031        165651                                             DATE DE LIVRAISON : 241031 HEURE MINI :      HEURE MAXI :                     EUR 165651               6670045987450
BCROADY ARGELES                      CHEMIN DE PALAU                                             66700    ARGELES SUR MERR                   FR                                                   pdv07933@mousquetaires.com                                                                                       
BLROADY ARGELES                      CHEMIN DE PALAU                                             66700    ARGELES SUR MERR                   FR                                                                                                                                                                    
BFROADY ARGELES                      CHEMIN DE PALAU                                             66700    ARGELES SUR MERR                   FR                                                                                                                                                                    
C1   ????????        00000000010000012.99                                                                                                                                                                  165651              3281690244104
C2   ????????        00000000020000012.62                                                                                                                                                                  165651              3281690164525
C3   ????????        00000000020000006.53                                                                                                                                                                  165651              3281690225981
C4   ????????        000000000200000008.5                                                                                                                                                                  165651              3281690225998
C5   ????????        000000000200000017.5                                                                                                                                                                  165651              3281690247136
C6   ????????        000000000100000013.7                                                                                                                                                                  165651              3281690244463
C7   ????????        000000000200000014.6                                                                                                                                                                  165651              3281690244470
C8   ????????        000000000200000016.1                                                                                                                                                                  165651              3281690244487
C9   ????????        00000000010000047.67                                                                                                                                                                  165651              3281690244388
C10  ????????        00000000010000028.49                                                                                                                                                                  165651              3281690191767
C11  ????????        00000000020000028.49                                                                                                                                                                  165651              3281690164570
C12  ????????        000000000400000015.8                                                                                                                                                                  165651              3281690194867
