A165689              ?241106        165689                                             DATE DE LIVRAISON : 241106 HEURE MINI :      HEURE MAXI :                     EUR 165689               4478774123651
BCCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                   c.blachon@centrautoplaine.fr                                                                                     
BLCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                                                                                                                                    
BFCENTR'AUTO PLAINE FEURS            2 RUE DU CAPITOL                                            42110    FEURS                              FR                                                                                                                                                                    
C1   ????????        00000000010000004.41                                                                                                                                                                  165689              3281690189191
C2   ????????        000000000200000008.1                                                                                                                                                                  165689              3281690226476
C3   ????????        00000000020000023.94                                                                                                                                                                  165689              3281690247143
C4   ????????        00000000020000013.68                                                                                                                                                                  165689              3281690247150
C5   ????????        000000000300000014.9                                                                                                                                                                  165689              3284090006358
C6   ????????        00000000040000017.35                                                                                                                                                                  165689              3284090009335
C7   ????????        00000000040000005.38                                                                                                                                                                  165689              3284090002206
C8   ????????        00000000010000003.65                                                                                                                                                                  165689              3284090976033
C9   ????????        00000000010000006.39                                                                                                                                                                  165689              3281690192078
C10  ????????        00000000010000015.45                                                                                                                                                                  165689              3281690231838
C11  ????????        00000000010000000030                                                                                                                                                                  165689              0123456789012
