id product;prix ht;prix unite ht;reference
"8049";"6.58";"0";"249030"
"8425";"61.40";"0";""
"6779";"24.96";"0";"223230"
"6789";"33.33";"0";"231400"
"7997";"27.00";"0";"243980"
"7999";"16.00";"0";"244010"
"8000";"25.00";"0";"243970"
"8416";"20.83";"0";"104"
"8005";"32.00";"0";"244430"
"8417";"20.83";"0";"236290"
"4947";"54.09";"0";"AMBCA006"
"4941";"61.40";"0";"AMBCA001"
"4945";"83.27";"0";"AMBCA005"
"4943";"49.93";"0";"AMBCA004"
"4933";"61.40";"0";"AMBCA001"
"4935";"66.60";"0";"AMBCA002"
"4937";"112.44";"0";"AMBCA003"
"4939";"49.93";"0";"AMBCA004"
"5603";"61.40";"0";"AMBCA001"
"5609";"116.60";"0";"AMBCA009"
"5607";"83.27";"0";"AMBCA008"
"5605";"66.60";"0";"AMBCA002"
"5611";"49.93";"0";"AMBCA004"
"163";"49.93";"0";"AMBEL008"
"162";"46.64";"0";"AMBEL001"
"172";"83.25";"0";"AMBEL007"
"171";"48.25";"0";"AMBEL004"
"160";"46.64";"0";"AMBEL001"
"164";"64.09";"0";"AMBEL002"
"167";"107.43";"0";"AMBEL003"
"169";"48.25";"0";"AMBEL004"
"161";"46.64";"0";"AMBEL001"
"166";"74.92";"0";"AMBEL005"
"168";"108.26";"0";"AMBEL006"
"5621";"46.60";"0";"AMBGT011"
"170";"48.25";"0";"AMBEL004"
"165";"64.09";"0";"AMBEL002"
"186";"27.42";"0";"AMBGT008"
"187";"73.23";"0";"AMBGT009"
"176";"27.42";"0";"AMBGT008"
"175";"24.09";"0";"AMBGT001"
"185";"48.25";"0";"AMBGT010"
"184";"24.09";"0";"AMBGT004"
"173";"24.09";"0";"AMBGT001"
"177";"29.08";"0";"AMBGT002"
"180";"49.10";"0";"AMBGT003"
"182";"24.09";"0";"AMBGT004"
"174";"24.09";"0";"AMBGT001"
"179";"41.59";"0";"AMBGT006"
"181";"56.60";"0";"AMBGT009"
"178";"30.76";"0";"AMBGT005"
"183";"24.09";"0";"AMBGT004"
"5635";"64.92";"0";"AMBPR010"
"191";"34.92";"0";"AMBPR009"
"190";"32.43";"0";"AMBPR001"
"200";"57.43";"0";"AMBPR008"
"199";"33.26";"0";"AMBPR004"
"195";"70.76";"0";"AMBPR003"
"192";"40.76";"0";"AMBPR002"
"188";"32.43";"0";"AMBPR001"
"197";"33.26";"0";"AMBPR004"
"189";"32.43";"0";"AMBPR001"
"194";"54.09";"0";"AMBPR006"
"198";"33.26";"0";"AMBPR004"
"193";"37.42";"0";"AMBPR005"
"196";"78.26";"0";"AMBPR007"
"108";"22.50";"0";"180530"
"110";"22.50";"0";"180550"
"111";"22.50";"0";"180550"
"115";"22.50";"0";"180680"
"117";"22.50";"0";"180730"
"121";"22.50";"0";"180440"
"124";"22.50";"0";"180500"
"125";"22.50";"0";"180500"
"127";"22.50";"0";"180520"
"132";"22.50";"0";"180590"
"139";"22.50";"0";"180740"
"143";"22.50";"0";"180720"
"146";"22.50";"0";"180830"
"158";"22.50";"0";"180620"
"4859";"29.17";"0";"020382"
"5105";"22.50";"0";"180600"
"5235";"22.50";"0";"180420"
"6663";"22.00";"0";"237120"
"6675";"22.00";"0";"237130"
"6679";"22.00";"0";"235130"
"7821";"37.42";"0";"AMBGT014"
"7823";"49.93";"0";"AMBPR012"
"7827";"74.92";"0";"AMBEL011"
"7833";"83.25";"0";"AMBCA011"
"8028";"54.08";"0";"AMBPR014"
"8413";"32.43";"0";"AMBPR010"
"8421";"50.08";"0";"AMBGT007"
"8298";"49.99";"0";"247220"
"8292";"37.49";"0";"247140"
"8285";"49.99";"0";"247070"
"8291";"29.16";"0";"247130"
"8289";"49.99";"0";"247110"
"8288";"33.33";"0";"247100"
"8282";"58.33";"0";"247030"
"8276";"33.33";"0";"247260"
"8265";"20.83";"0";"247530"
"5971";"50.00";"0";"223130"
"8147";"25.00";"0";"106"
"1122";"62.50";"0";"174410"
"1102";"55.00";"0";"174390"
"1252";"40.00";"0";"168660"
"2232";"20.00";"0";"174660"
"5575";"21.67";"0";"174430"
"7905";"16.67";"0";"187140"
"6213";"16.67";"0";"225020"
"7913";"15.00";"0";"233"
"328";"16.67";"0";"174880"
"329";"16.67";"0";"174160"
"7927";"15.00";"0";"228"
"6625";"16.67";"0";"237800"
"6205";"16.67";"0";"226480"
"332";"16.67";"0";"166500"
"327";"16.67";"0";"177270"
"6615";"16.67";"0";"185950"
"6203";"16.67";"0";"226470"
"330";"16.67";"0";"174150"
"6199";"16.67";"0";"226450"
"6617";"16.67";"0";"187210"
"5127";"16.67";"0";"187520"
"337";"16.67";"0";"166490"
"5121";"16.67";"0";"185840"
"6619";"16.67";"0";"201820"
"5117";"16.67";"0";"187160"
"6209";"16.67";"0";"225010"
"6197";"16.67";"0";"226430"
"5129";"16.67";"0";"187120"
"6027";"16.67";"0";"226440"
"6211";"16.67";"0";"225000"
"7939";"23.71";"0";"237050"
"6537";"42.76";"0";"237090"
"263";"20.83";"0";"141920"
"6373";"22.50";"0";"228270"
"6577";"17.00";"0";"224540"
"253";"16.67";"0";"137580"
"248";"20.83";"0";"176270"
"6589";"22.00";"0";"227320"
"6581";"17.00";"0";"224560"
"296";"15.00";"0";"164410"
"8373";"29.17";"0";"236980"
"8386";"31.67";"0";"237010"
"8387";"25.83";"0";"226680"
"2442";"20.00";"0";"118"
"6531";"19.00";"0";"129"
"8384";"23.33";"0";"235310"
"7423";"25.00";"0";"974"
"3002";"20.00";"0";"164760"
"6491";"19.00";"0";"235370"
"3471";"12.50";"0";"201930"
"6493";"16.00";"0";"235340"
"6214";"18.33";"0";"222140"
"7917";"12.50";"0";"509"
"3533";"22.00";"0";"164550"
"6193";"20.00";"0";"222180"
"6627";"23.33";"0";"235270"
"5891";"21.00";"0";"204770"
"6345";"16.00";"0";"199730"
"3481";"16.67";"0";"164510"
"6437";"22.50";"0";"234340"
"6435";"16.67";"0";"233370"
"5889";"18.00";"0";"221480"
"5741";"12.50";"0";"202540"
"6433";"16.67";"0";"233390"
"6431";"16.67";"0";"233380"
"5639";"20.00";"0";"199620"
"3527";"17.50";"0";"164520"
"3529";"20.00";"0";"164530"
"3551";"12.46";"0";"515001"
"287";"23.70";"0";"448506"
"7924";"16.00";"0";"392"
"239";"16.67";"0";"168940"
"233";"22.50";"0";"147790"
"6371";"18.95";"0";"230850"
"234";"22.50";"0";"147800"
"243";"22.50";"0";"170970"
"5731";"22.50";"0";"200480"
"5909";"25.00";"0";"201720"
"3569";"22.00";"0";"179800"
"244";"22.00";"0";"179810"
"7902";"28.33";"0";"225"
"7779";"17.50";"0";"226000"
"2732";"15.00";"0";"123440"
"8381";"24.17";"0";"235320"
"5805";"35.00";"0";"201530"
"5813";"35.00";"0";"201550"
"5815";"35.00";"0";"201550"
"5801";"35.00";"0";"201520"
"5849";"35.00";"0";"201700"
"6611";"28.48";"0";"231550"
"5855";"35.00";"0";"201710"
"5821";"35.00";"0";"201570"
"5827";"35.00";"0";"201590"
"5839";"28.48";"0";"201660"
"5853";"28.48";"0";"231390"
"7898";"12.50";"0";"772"
"8030";"14.17";"0";"236370"
"7495";"16.67";"0";"998"
"7315";"15.00";"0";"85803"
"6507";"17.50";"0";"235960"
"7247";"12.50";"0";"777"
"6505";"18.50";"0";"236310"
"7245";"12.50";"0";"771"
"7753";"25.00";"0";"241130"
"8245";"12.50";"0";"581400"
"7745";"16.67";"0";"915"
"6703";"12.50";"0";"867"
"6699";"20.83";"0";"574B"
"7125";"17.00";"0";"610"
"7131";"22.50";"0";"61003"
"7129";"21.50";"0";"61002"
"7175";"14.00";"0";"632"
"8354";"20.83";"0";"63501"
"8227";"26.67";"0";"131028"
"8229";"26.67";"0";"131029"
"8230";"27.50";"0";"141028"
"8235";"27.50";"0";"141031"
"8233";"27.50";"0";"141029"
"8234";"26.67";"0";"131031"
"8237";"28.33";"0";"151028"
"8238";"28.33";"0";"151029"
"8240";"28.33";"0";"151031"
"8241";"29.17";"0";"161028"
"8243";"29.17";"0";"161029"
"8244";"29.17";"0";"161031"
"8350";"55.00";"0";"742"
"6915";"12.50";"0";"145"
"7237";"41.67";"0";"741"
"6919";"12.50";"0";"154"
"7811";"12.50";"0";"159"
"8050";"12.50";"0";"150"
"7239";"13.20";"0";"74101"
"6985";"12.50";"0";"366"
"6927";"17.50";"0";"18009"
"6893";"13.33";"0";"119"
"6939";"20.50";"0";"19206"
"8052";"12.50";"0";"170"
"8046";"12.50";"0";"146"
"8374";"12.50";"0";"172"
