Product ID;Reference;Quantités
118;180750;42
131;180590;44
132;180590;44
134;232200;36
145;180830;39
146;180830;39
152;180460;34
155;180800;0
159;180660;13
242;170960;47
296;164410;0
3615;180690;52
3639;180750;42
3653;180660;13
3747;180460;34
3775;180320;25
3791;180800;0
3793;180810;23
3797;180830;39
3801;180850;0
5023;180590;44
5125;185880;0
5665;194980;23
5681;195070;8
5751;200750;0
5803;201530;15
5805;201530;15
5807;201540;13
5811;201550;6
5813;201550;6
5815;201550;6
5817;201560;16
5819;201570;45
5821;201570;45
5823;201580;8
5831;201610;20
5833;201620;10
5835;201640;13
5837;201650;18
5839;201660;7
5843;201680;10
5845;201690;8
5847;201700;13
5849;201700;13
5853;231390;12
6003;226500;42
6007;223330;11
6123;221630;10
6141;221880;10
6225;231830;8
6361;231820;10
6497;235920;0
6593;228280;0
6605;231340;16
6681;232200;36
6927;18009;13
7031;45010;0
7199;681;138
7201;683;0
7229;733;38
7233;735;20
7379;97001;162
7383;97101;58
7387;97104;24
7495;998;1986
7579;284CU;0
7745;915;0
7813;241350;1290
7861;202480;7
7863;202480;7
7886;116;2935
7952;243750;940
7956;245050;2679
7976;241320;0
7994;243760;738
8001;244410;0
8011;244170;164
8012;244960;188
8033;236520;0
8038;239950;0
8065;2329002;16
8229;131029;64
8269;247500;803
8279;247490;0
8281;247020;189
8285;247070;112
8288;247100;0
8291;247130;171
8292;247140;305
0;247170;0
8299;247230;306
8312;250750;9
8320;250590;41
8328;239760;0
8330;239800;10
8343;238120;0
8344;239720;0
8351;69941;7030
8355;241820;0
8358;69942;9895
8361;284CF;0
8364;284WI;0
8367;284FP;47
