actif;afficher le prix;id_category(s);id_category_default;description courte FR;ean13 Valeur produit;tva;link_rewrite FR;meta_description FR;meta_title FR;nom FR;poids Valeur produit;prix TTC Valeur produit;quantité;référence;
1;1;7930;7930;;3281690193662;20;;;;Tapis Sur Mesure Elite  2 avants Noir;1.5;0;9999;EL001N;
1;1;7930;7930;;3281690193679;20;;;;Tapis Sur Mesure Elite  2 avants Gris;1.5;0;9999;EL001G;
1;1;7930;7930;;3281690193686;20;;;;Tapis Sur Mesure Elite  2 avants Vert;1.5;0;9999;EL001V;
1;1;7930;7930;;3281690193693;20;;;;Tapis Sur Mesure Elite  2 avants Beige;1.5;0;9999;EL001BG;
1;1;7930;7930;;3281690193709;20;;;;Tapis Sur Mesure Elite  2 avants Rouge;1.5;0;9999;EL001R;
1;1;7930;7930;;3281690193716;20;;;;Tapis Sur Mesure Elite  2 avants Bleu;1.5;0;9999;EL001BL;
1;1;7930;7930;;3281690193723;20;;;;Tapis Sur Mesure Elite  2 avants Marron;1.5;0;9999;EL001M;
1;1;7930;7930;;3281690193730;20;;;;Tapis Sur Mesure Elite  2 avants Bleu marine;1.5;0;9999;EL001BM;
1;1;7930;7930;;3281690193747;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Noir;1.5;0;9999;EL002N;
1;1;7930;7930;;3281690193754;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Gris;1.5;0;9999;EL002G;
1;1;7930;7930;;3281690193761;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Vert;1.5;0;9999;EL002V;
1;1;7930;7930;;3281690193778;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Beige;1.5;0;9999;EL002BG;
1;1;7930;7930;;3281690193785;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Rouge;1.5;0;9999;EL002R;
1;1;7930;7930;;3281690193792;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Bleu;1.5;0;9999;EL002BL;
1;1;7930;7930;;3281690193808;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Marron;1.5;0;9999;EL002M;
1;1;7930;7930;;3281690193815;20;;;;Tapis Sur Mesure Elite  2 avants + arrière Bleu marine;1.5;0;9999;EL002BM;
1;1;7930;7930;;3281690193822;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Noir;1.5;0;9999;EL003N;
1;1;7930;7930;;3281690193839;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Gris;1.5;0;9999;EL003G;
1;1;7930;7930;;3281690193846;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Vert;1.5;0;9999;EL003V;
1;1;7930;7930;;3281690193853;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Beige;1.5;0;9999;EL003BG;
1;1;7930;7930;;3281690193860;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Rouge;1.5;0;9999;EL003R;
1;1;7930;7930;;3281690193877;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Bleu;1.5;0;9999;EL003BL;
1;1;7930;7930;;3281690193884;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Marron;1.5;0;9999;EL003M;
1;1;7930;7930;;3281690193891;20;;;;Tapis Sur Mesure Elite  2 avants + arrière + coffre Bleu marine;1.5;0;9999;EL003BM;
1;1;7930;7930;;3281690193907;20;;;;Tapis Sur Mesure Elite  Coffre Noir;1.5;0;9999;EL004N;
1;1;7930;7930;;3281690193914;20;;;;Tapis Sur Mesure Elite  Coffre Gris;1.5;0;9999;EL004G;
1;1;7930;7930;;3281690193921;20;;;;Tapis Sur Mesure Elite  Coffre Vert;1.5;0;9999;EL004V;
1;1;7930;7930;;3281690193938;20;;;;Tapis Sur Mesure Elite  Coffre Beige;1.5;0;9999;EL004BG;
1;1;7930;7930;;3281690193945;20;;;;Tapis Sur Mesure Elite  Coffre Rouge;1.5;0;9999;EL004R;
1;1;7930;7930;;3281690193952;20;;;;Tapis Sur Mesure Elite  Coffre Bleu;1.5;0;9999;EL004BL;
1;1;7930;7930;;3281690193969;20;;;;Tapis Sur Mesure Elite  Coffre Marron;1.5;0;9999;EL004M;
1;1;7930;7930;;3281690193976;20;;;;Tapis Sur Mesure Elite  Coffre Bleu marine;1.5;0;9999;EL004BM;
1;1;7930;7930;;3281690193983;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Noir;1.5;0;9999;EL005N;
1;1;7930;7930;;3281690193990;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Gris;1.5;0;9999;EL005G;
1;1;7930;7930;;3281690194003;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Vert;1.5;0;9999;EL005V;
1;1;7930;7930;;3281690194010;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Beige;1.5;0;9999;EL005BG;
1;1;7930;7930;;3281690194027;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Rouge;1.5;0;9999;EL005R;
1;1;7930;7930;;3281690194034;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Bleu;1.5;0;9999;EL005BL;
1;1;7930;7930;;3281690194041;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Marron;1.5;0;9999;EL005M;
1;1;7930;7930;;3281690194058;20;;;;Tapis Sur Mesure Elite  2 avants + 1ère rangée Bleu marine;1.5;0;9999;EL005BM;
1;1;7930;7930;;3281690194065;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Noir;1.5;0;9999;EL006N;
1;1;7930;7930;;3281690194072;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Gris;1.5;0;9999;EL006G;
1;1;7930;7930;;3281690194089;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Vert;1.5;0;9999;EL006V;
1;1;7930;7930;;3281690194096;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Beige;1.5;0;9999;EL006BG;
1;1;7930;7930;;3281690194102;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Rouge;1.5;0;9999;EL006R;
1;1;7930;7930;;3281690194119;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Bleu;1.5;0;9999;EL006BL;
1;1;7930;7930;;3281690194126;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Marron;1.5;0;9999;EL006M;
1;1;7930;7930;;3281690194133;20;;;;Tapis Sur Mesure Elite  Avants + arrière 1 + arrière 2 Bleu marine;1.5;0;9999;EL006BM;
1;1;7930;7930;;3281690194140;20;;;;Tapis Sur Mesure Elite  Avants + coffre Noir;1.5;0;9999;EL007N;
1;1;7930;7930;;3281690194157;20;;;;Tapis Sur Mesure Elite  Avants + coffre Gris;1.5;0;9999;EL007G;
1;1;7930;7930;;3281690194164;20;;;;Tapis Sur Mesure Elite  Avants + coffre Vert;1.5;0;9999;EL007V;
1;1;7930;7930;;3281690194171;20;;;;Tapis Sur Mesure Elite  Avants + coffre Beige;1.5;0;9999;EL007BG;
