actif;afficher le prix;caractéristique Coloris;caractéristique Matière;caractéristique sous-couche;caractéristique configuration tapis;caractéristique type tapis;id_category(s);id_category_default;description courte FR;ean13 Valeur produit;tva;link_rewrite FR;meta_description FR;meta_title FR;nom FR;poids Valeur produit;prix TTC Valeur produit;quantité;référence
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690231838;20;tapis-citroen-c3-aircross-07-2017-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Citroen C3 Aircross - De 07/2017 à ce jour - Vendome;Tapis Citroen C3 Aircross - De 07/2017 à ce jour - Vendome;1.5;27;100;231830
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690237168;20;tapis-renault-captur-2-2019-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Renault Captur 2 - De 2019 à ce jour - Vendome;Tapis Renault Captur 2 - De 2019 à ce jour - Vendome;1.5;27;100;237130
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690237793;20;tapis-renault-zoe-1-et-zoe-2-2013-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Renault Zoe 1 et Zoe 2 - De 2013 à ce jour - Vendome;Tapis Renault Zoe 1 et Zoe 2 - De 2013 à ce jour - Vendome;1.5;27;100;237790
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231784;20;tapis-kia-stonic-2017-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Kia Stonic - De 2017 à ce jour - Prestige;Tapis Kia Stonic - De 2017 à ce jour - Prestige;2.5;49.9;100;231780
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231821;20;tapis-opel-insignia-2017-2020-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Opel Insignia - De 2017 à 2020 - Prestige;Tapis Opel Insignia - De 2017 à 2020 - Prestige;2.5;49.9;100;231820
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231753;20;tapis-peugeot-3008-2-5008-2-2016-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Peugeot 3008 2 & 5008 2 - De 2016 à ce jour - Prestige;Tapis Peugeot 3008 2 & 5008 2 - De 2016 à ce jour - Prestige;2.5;49.9;100;231750
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690221631;20;tapis-peugeot-407-407-sw-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Peugeot 407 & 407 SW - Prestige;Tapis Peugeot 407 & 407 SW - Prestige;2.5;49.9;100;221630
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690221808;20;tapis-renault-clio-3-clio-3-estate-2005-2012-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Renault Clio 3 & Clio 3 Estate - De 2005 à 2012 - Prestige;Tapis Renault Clio 3 & Clio 3 Estate - De 2005 à 2012 - Prestige;2.5;49.9;100;221800
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231746;20;tapis-renault-scenic-4-2016-2021-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Renault Scenic 4 - De 2016 à 2021 - Prestige;Tapis Renault Scenic 4 - De 2016 à 2021 - Prestige;2.5;49.9;100;231740
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231807;20;tapis-volkswagen-polo-6-2017-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Volkswagen Polo 6 - De 2017 à ce jour - Prestige;Tapis Volkswagen Polo 6 - De 2017 à ce jour - Prestige;2.5;49.9;100;231800
