actif;afficher le prix;caractéristique Coloris;caractéristique Matière;caractéristique sous-couche;caractéristique configuration tapis;caractéristique type tapis;id_category(s);id_category_default;description courte FR;ean13 Valeur produit;tva;link_rewrite FR;meta_description FR;meta_title FR;nom FR;poids Valeur produit;prix TTC Valeur produit;quantité;référence
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690231838;20;tapis-citroen-c3-aircross-07-2017-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Citroen C3 Aircross - De 07/2017 à ce jour - Vendome;Tapis Citroen C3 Aircross - De 07/2017 à ce jour - Vendome;1.5;27;100;231830
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690248676;20;tapis-renault-arkana-03-2021-noir-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Renault Arkana - De 03/2021 à ce jour - Noir - Vendome;Tapis Renault Arkana - De 03/2021 à ce jour - Noir - Vendome;1.5;27;100;248670
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690237168;20;tapis-renault-captur-2-2019-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Renault Captur 2 - De 2019 à ce jour - Vendome;Tapis Renault Captur 2 - De 2019 à ce jour - Vendome;1.5;27;100;237130
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690237793;20;tapis-renault-zoe-1-et-zoe-2-2013-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Renault Zoe 1 et Zoe 2 - De 2013 à ce jour - Vendome;Tapis Renault Zoe 1 et Zoe 2 - De 2013 à ce jour - Vendome;1.5;27;100;237790
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690250655;20;tapis-citroen-ami-electrique-06-2020-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Citroen Ami 100% électrique - De 06/2020 à ce jour - Vendome;Tapis Citroen Ami 100% électrique - De 06/2020 à ce jour - Vendome;1.5;27;100;250650
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690250525;20;tapis-citroen-peugeot-berlingo-partner-2-tepee-10-2018-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Citroen / Peugeot Berlingo Partner 2 Tepee - De 10/2018 à ce jour - Vendome;Tapis Citroen / Peugeot Berlingo Partner 2 Tepee - De 10/2018 à ce jour - Vendome;1.5;27;100;250520
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690250792;20;tapis-citroen-e-c4-electrique-09-2020-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Citroen e-C4 100% électrique - De 09/2020 à ce jour - Vendome;Tapis Citroen e-C4 100% électrique - De 09/2020 à ce jour - Vendome;1.5;27;100;250790
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690250549;20;tapis-dacia-duster-2-11-2017-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Dacia Duster 2 - De 11/2017 à ce jour - Vendome;Tapis Dacia Duster 2 - De 11/2017 à ce jour - Vendome;1.5;27;100;250540
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690250600;20;tapis-dacia-sandero-3-stepway-01-2021-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Dacia Sandero 3 &  Stepway - De 01/2021 à ce jour - Vendome;Tapis Dacia Sandero 3 & Sandero 3 Stepway - De 01/2021 à ce jour - Vendome;1.5;27;100;250600
1;1;Noir;Moquette;Anti-dérapante;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div style=""text-align: center;""><div style=""text-align: left;""><p><strong>Les plus-produit :</strong></p><ul><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Equipement complet : 2 tapis avant + 2 tapis arrière</span></span></li><li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Verdana, sans-serif;""><span style=""font-size: 11.3333px;"">Matière : Aiguilleté</span></span></li><li>Talonnette de renfort sur le tapis côté conducteur</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe d'origine</li><li>Sous-couche anti-dérapante</li><li>Fabrication européenne</li></ul></div></div>";3281690250716;20;tapis-dacia-spring-electrique-03-2021-vendome;Jeu de tapis sur mesure, coloris noir. Tapis avant et arrière, avec talonnette de renfort côté conducteur. Livraison Gratuite.;Tapis Dacia Spring 100% électrique - De 03/2021 à ce jour - Vendome;Tapis Dacia Spring 100% électrique - De 03/2021 à ce jour - Vendome;1.5;27;100;250710
