Product ID;Reference;stock entrepôt
105;192860;50
106;180430;13
107;180530;56
108;180530;56
109;180550;41
110;180550;41
111;180550;41
112;180560;25
114;180680;84
115;180680;84
116;180730;10
117;180730;10
118;180750;28
120;180440;12
121;180440;12
123;180500;18
124;180500;18
125;180500;18
126;180520;18
127;180520;18
131;180590;32
132;180590;32
134;232200;0
135;180670;36
138;180740;61
139;180740;61
142;180720;18
143;180720;18
145;180830;53
146;180830;53
147;180760;17
149;195020;27
150;180650;0
152;180460;28
153;194970;6
154;180790;12
155;180800;0
156;180390;3
157;180620;0
158;180620;0
159;180660;27
160;AMBEL001;9987
161;AMBEL001;9987
162;AMBEL001;9987
163;AMBEL008;9987
164;AMBEL002;9987
165;AMBEL002;9987
166;AMBEL005;9987
167;AMBEL003;9987
168;AMBEL006;9987
169;AMBEL004;9987
170;AMBEL004;9987
171;AMBEL004;9987
172;AMBEL007;9987
173;AMBGT001;9987
174;AMBGT001;9987
175;AMBGT001;9987
176;AMBGT008;9987
177;AMBGT002;9987
178;AMBGT005;9987
179;AMBGT006;9987
180;AMBGT003;9987
181;AMBGT007;9987
182;AMBGT004;9987
183;AMBGT004;9987
184;AMBGT004;9987
185;AMBGT010;9987
186;AMBGT008;9987
187;AMBGT009;9987
188;AMBPR001;9987
189;AMBPR001;9987
190;AMBPR001;9987
191;AMBPR009;9987
192;AMBPR002;9987
193;AMBPR005;9987
194;AMBPR006;9987
195;AMBPR003;9987
196;AMBPR007;9987
197;AMBPR004;9987
198;AMBPR004;9987
199;AMBPR004;9987
200;AMBPR008;9987
233;147790;279
234;147800;0
235;147810;130
237;164770;939
239;168940;0
242;170960;185
243;170970;0
244;179810;422
246;174876;541
247;174840;187
248;176270;295
253;137580;1372
263;141920;2951
265;164570;1302
274;194860;426
277;150950;231
287;448506;39
296;164410;296
327;177270;141
328;174880;0
329;174160;8095
330;174150;0
332;166500;0
337;166490;227
1102;174390;31
1122;174410;36
1252;168660;238
1312;168680;231
1342;168690;245
1392;176320;139
1402;173020;453
1432;173050;344
2032;174470;53
2042;174480;40
2052;174490;12
2062;174500;0
2072;174510;19
2082;174520;14
2092;174530;51
2102;174540;34
2202;174570;794
2212;174580;733
2222;174590;242
2232;174660;60
2442;118;1998
2982;164750;478
2992;230200;947
3002;164760;0
3471;201930;2042
3481;164510;463
3491;164500;994
3527;164520;265
3529;164530;1617
3531;164540;1021
3533;164550;950
3535;164560;262
3537;199260;115
3551;515001;32
3569;179800;462
3615;180690;17
3629;180730;10
3633;180740;61
3639;180750;28
3643;180760;17
3651;180650;0
3653;180660;27
3659;180500;18
3667;180520;18
3671;180530;56
3677;180550;41
3681;180560;25
3691;180600;23
3697;180620;0
3741;180440;12
3747;180460;28
3775;180320;16
3779;180340;5
3781;180350;18
3785;180790;12
3791;180800;0
3793;180810;45
3795;180820;15
3797;180830;53
3923;180390;3
3931;180410;11
4177;180310;24
4325;180380;20
4337;180420;32
4533;180400;15
4543;180430;13
4551;180450;43
4615;180670;36
4617;180680;84
4633;180720;18
4785;180330;3
4859;20382;57
4933;AMBCA001;9987
4935;AMBCA002;9987
4937;AMBCA003;9987
4939;AMBCA004;9987
4941;AMBCA001;9987
4943;AMBCA004;9987
4945;AMBCA005;9987
4947;AMBCA006;9987
5023;180590;32
5105;180600;23
5109;186360;2721
5111;186370;627
5113;186380;327
5117;187160;137
5121;185840;0
5123;185870;3036
5125;185880;699
5127;187520;0
5129;187120;584
5197;195030;20
5213;191920;984
5219;191960;983
5235;180420;32
5263;236280;1205
5265;190080;463
5307;191760;1828
5309;190740;91
5311;190750;61
5313;190760;86
5315;190770;52
5317;179790;277
5445;234030;706
5491;191270;15
5521;196360;0
5523;199680;9989
5575;174430;126
5603;AMBCA001;9987
5605;AMBCA002;9987
5607;AMBCA008;9987
5609;AMBCA009;9987
5611;AMBCA004;9987
5621;AMBGT011;9987
5635;AMBPR010;9987
5653;192860;50
5661;195010;13
5665;194980;39
5671;195030;20
5681;195070;36
5683;20383;5
5689;194970;6
5693;20379;32
5695;192820;10
5697;192840;43
5699;20382;57
5701;195020;27
5705;197690;12
5719;192850;19
5731;200480;19
5741;202540;3277
5743;200740;0
5751;200750;0
5799;201520;24
5801;201520;24
5803;201530;11
5805;201530;11
5807;201540;11
5811;201550;4
5813;201550;4
5815;201550;4
5817;201560;11
5819;201570;34
5821;201570;34
5823;201580;6
5825;201590;12
5827;201590;12
5829;201600;17
5831;201610;12
5833;201620;5
5835;201640;11
5837;201650;8
5839;201660;15
5841;201670;15
5843;201680;5
5845;201690;6
5847;201700;10
5849;201700;10
5851;201710;13
5853;231390;11
5855;201710;13
5881;222120;0
5889;221480;5204
5891;204770;3308
5897;223020;591
5899;202570;3813
5901;223030;482
5903;184020;1016
5905;223470;1578
5909;201720;369
5971;223130;12
5995;226570;265
6003;226500;27
6007;223330;38
6009;223350;13
6011;223340;15
6015;226530;47
6027;226440;51
6079;221620;0
6097;226180;16
6105;226190;0
6119;221790;14
6123;221630;10
6141;221880;10
6193;222180;386
6197;226430;136
6199;226450;152
6203;226470;0
6205;226480;190
6209;225010;1801
6211;225000;613
6213;225020;708
6214;222140;6
6216;168670;296
6219;173030;317
6225;231830;7
6331;228820;36
6333;228830;117
6345;199730;143
6349;222300;1377
6351;229520;1351
6353;231810;29
6359;231780;0
6361;231820;10
6363;231750;0
6365;231740;22
6367;231800;20
6371;230850;36
6373;228270;379
6385;231750;0
6403;231580;7
6409;231570;41
6425;234140;0
6427;234110;30
6431;233380;708
6433;233390;706
6435;233370;879
6437;234340;573
6441;233400;649
6443;234350;118
6457;234310;3031
6461;415260;936
6463;415270;1769
6469;233250;444
6481;233630;1153
6489;234490;4773
6491;235370;932
6493;235340;688
6495;234020;460
6503;234010;4252
6505;236310;2221
6507;235960;2091
6509;236460;880
6517;236430;1752
6529;128;318
6531;129;174
6535;236950;1165
6537;237090;0
6563;180380;20
6565;231500;6
6573;390;313
6577;224540;0
6581;224560;270
6585;228260;172
6589;227320;548
6593;228280;502
6595;406;199
6597;404;123
6603;201630;8
6605;231340;13
6607;231350;9
6609;231380;22
6611;231550;5
6615;185950;2056
6617;187210;543
6619;201820;0
6623;235660;689
6625;237800;90
6627;235270;180
6631;237110;2049
6635;235380;490
6637;231560;6
6639;235400;196
6643;235360;0
6647;231500;6
6661;237120;35
6663;237120;35
6665;226510;23
6667;226510;23
6669;202550;2196
6673;237130;25
6675;237130;25
6677;235130;105
6679;235130;105
6681;232200;0
6683;237790;0
6685;237790;0
6699;574B;27
6703;867;8971
6705;920;9
6707;870;165
6711;621;1092
6713;623;2608
6715;625;1675
6719;621K;456
6721;623K;477
6723;625K;475
6725;692;337
6727;693;568
6729;696;125
6731;694;201
6733;69401;185
6735;187640;1338
6747;192310;809
6769;196100;43
6779;223230;24
6789;231400;329
6797;231460;129
6799;231410;272
6801;191240;0
6813;239410;986
6821;331;23
6823;013/915;307
6829;013/991;89
6893;119;538
6895;120;1312
6903;125;0
6905;126;339
6911;139;5106
6915;145;3300
6919;154;8823
6925;18001;180
6927;18009;193
6939;19206;106
6949;202;1997
6953;220;2455
6957;236;18
6959;238;2240
6961;240;1158
6963;243;120
6965;24301;24
6967;268;587
6985;366;3092
7023;440;93
7027;44005;647
7031;45010;859
7053;508;4626
7057;50901;0
7059;51201;14075
7061;516;361
7065;519;0
7069;528;2268
7075;539S;2024
7077;541;331
7081;54104;40
7097;542;1928
7099;550;510
7101;55002;637
7103;55003;530
7105;552;1676
7107;55201;3198
7111;562;1619
7113;565;2622
7125;610;1539
7127;61001;0
7129;61002;696
7131;61003;639
7155;620;365
7163;626;0
7165;626A;0
7167;628;0
7169;629;0
7173;631;0
7175;632;1072
7177;633;278
7179;635;306
7189;651;103
7193;678;124
7195;679;124
7197;680;140
7199;681;104
7201;683;87
7203;684;63
7205;688;346
7225;731;24
7227;732;49
7229;733;21
7237;741;2914
7239;74101;688
7241;756;592
7245;771;9830
7247;777;7146
7249;781;6339
7253;78302;858
7255;785;5685
7257;787;315
7261;789;913
7265;794;1764
7267;795;5392
7271;797;10092
7273;79701;8998
7275;798;6514
7307;854;13934
7309;856;37363
7311;857;21608
7315;85803;10508
7317;85804;2874
7333;907;364
7335;909;240
7337;910;190
7339;911;42
7343;913;350
7345;914;189
7347;931;244
7349;933;751
7351;934;64
7353;936;844
7355;943;965
7357;944;0
7359;945;230
7361;946;1551
7367;949;84
7371;956;3631
7373;957;1099
7377;970;0
7379;97001;150
7381;971;19
7383;97101;37
7389;972;338
7391;97201;0
7421;97380;2387
7423;974;1345
7425;97500;3077
7427;97501;2469
7429;97520;1867
7431;97530;467
7433;976;1947
7435;97601;542
7437;97602;977
7439;97603;2003
7441;97604;2698
7443;97605;3489
7445;97606;84
7447;97607;136
7449;97608;17
7451;97609;352
7453;97610;481
7459;979;1841
7461;981;2084
7471;98710;379
7473;98711;946
7485;98730P;484
7489;98731;0
7491;99002;261
7493;993;800
7495;998;2063
7497;999;719
7523;69701;0
7529;239260;863
7745;915;0
7751;233580;150
7753;241130;226
7761;241340;0
7775;225980;761
7777;225990;1161
7779;226000;560
7797;237780;0
7803;243070;138
7805;233860;103
7807;233870;93
7809;155;2160
7811;159;6485
7813;241350;553
7821;AMBGT014;9987
7823;AMBPR012;9987
7837;68901;1438
7851;143580;578
7861;202480;0
7863;202480;0
7865;202500;81
7867;202510;68
7869;202510;68
7871;202510;68
7884;71901;1780
7886;116;2369
7890;244340;323
7891;244350;551
7892;244360;701
7894;244380;580
7896;244370;516
7897;244390;692
7898;772;7838
7899;395;277
7900;201;0
7902;225;245
7903;187650;3789
7905;187140;119
7906;249;3512
7910;881;70
7913;233;6354
7917;509;2457
7919;247;823
7920;107;90
7922;241370;6331
7923;59801;506
7924;392;171
7927;228;2570
7928;226;5339
7929;234;1707
7930;110;1398
7931;244400;31
7932;244450;77
7934;241970;47
7937;237000;672
7939;237050;67
7940;237030;1087
7941;237020;0
7942;236990;134
7945;236270;1494
7949;243720;1108
7952;243750;1324
7954;243770;525
7956;245050;156
7958;245030;642
7959;243870;975
7961;243780;353
7963;243960;179
7964;243860;261
7967;243930;215
7968;243830;263
7970;243900;759
7972;243840;349
7974;244000;213
7975;243610;0
7976;241320;0
7978;244140;402
7979;243730;1091
7980;243740;900
7983;243890;957
7984;243630;212
7985;243940;390
7986;243660;588
7988;243810;891
7990;243990;499
7992;243920;209
7994;243760;760
7995;243850;865
7997;243980;315
7998;244020;378
7999;244010;498
8000;243970;67
8001;244410;0
8003;244420;0
8005;244430;0
8009;244150;1101
8010;244160;1054
8011;244170;304
8012;244960;182
8014;244970;178
8015;244980;189
8017;244990;185
8018;244830;277
8022;244840;353
8023;244850;353
8025;244860;133
8026;244870;96
8027;244440;319
8028;AMBPR014;9987
8029;AMBGT015;9987
8030;236370;90
8034;233900;928
8036;233960;87
8040;239160;194
8041;227340;1607
8042;235700;378
8043;238200;143
8045;236540;1511
8046;146;5806
8047;201940;1954
8050;150;4026
8051;151;2725
8052;170;6871
8053;97621;0
8054;97622;19
8055;222590;391
8056;2328971;10
8057;2328973;10
8058;2328974;6
8059;2328975;8
8060;2328978;8
8061;2328979;8
8062;2328992;8
8063;2328999;9
8064;2329001;10
8065;2329002;16
8066;2329015;10
8067;2329017;10
8068;2329032;5
8069;2329040;8
8070;2329041;7
8071;2329042;10
8072;2329042;10
8073;2329048;6
8074;2329051;7
8075;2329052;9
8076;2329053;10
8078;2362692;6
8079;2362694;9
8080;2362696;8
8081;2362698;8
8082;2362704;9
8084;2362713;10
8086;2362719;10
8087;2362727;5
8088;2362730;5
8089;2362739;7
8090;2362746;9
8091;2362755;0
8092;2362755;0
8093;2362755;0
8094;2362756;10
8095;2362767;9
8096;2362784;8
8097;2403580;10
8098;2403581;7
8099;2403582;4
8100;2403583;10
8101;2403584;10
8104;2403585;10
8105;2403586;8
8106;2403588;10
8108;2403590;9
8109;2403591;10
8110;2403592;10
8111;2403593;10
8112;2403594;10
8113;2403596;8
8114;2403598;6
8115;2403599;6
8116;2403600;5
8117;2403601;12
8118;2403604;7
8121;2403605;9
8122;2403608;6
8124;2403609;9
8125;2403610;9
8126;2403611;7
8127;2403612;7
8128;2403613;9
8130;2403618;10
8131;2403619;9
8132;2403620;10
8133;2403621;0
8134;2403623;0
8136;2403625;10
8137;2403629;4
8138;2403631;7
8139;2403632;8
8140;2403633;10
8147;106;1844
8148;987;2804
8153;902000;42
8163;902040;112
8166;902070;114
8167;902080;222
8169;902100;298
8170;902110;184
8171;902120;247
8172;902130;86
8173;902140;59
8176;902170;51
8177;902180;64
8178;902190;45
8179;902200;15
8180;902210;40
8181;902220;87
8183;902240;66
8184;902250;0
8185;902260;63
8186;902270;186
8187;902280;72
8188;902290;77
8189;902300;65
8190;902310;64
8191;902320;30
8192;902330;79
8193;902340;76
8194;902350;108
8195;902360;96
8196;902370;20
8197;902380;101
8198;902390;137
8199;902400;80
8200;902410;11
8201;902420;71
8202;902430;82
8203;902440;79
8204;902450;46
8205;902460;71
8206;902470;19
8207;902480;18
8208;902490;19
8209;902500;18
