ref;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
223130;1;1;50;percentage;oui
243740;1;1;10;percentage;oui
243750;1;1;10;percentage;oui
244020;1;1;10;percentage;oui
243770;1;1;10;percentage;oui
243960;1;1;10;percentage;oui
243860;1;1;10;percentage;oui
243930;1;1;10;percentage;oui
243830;1;1;10;percentage;oui
243900;1;1;10;percentage;oui
116;1;1;10;percentage;oui
243610;1;1;10;percentage;oui
243660;1;1;10;percentage;oui
239160;1;1;25;percentage;oui
238200;1;1;45;percentage;oui
236270;1;1;30;percentage;oui
236280;1;1;30;percentage;oui
202550;1;1;35;percentage;oui
235380;1;1;35;percentage;oui
174590;1;1;35;percentage;oui
225980;1;1;30;percentage;oui
231500;1;1;10;percentage;oui
226180;1;1;25;percentage;oui
231820;1;1;25;percentage;oui
231750;1;1;25;percentage;oui
231740;1;1;25;percentage;oui
241970;1;1;25;percentage;oui
202480;1;1;25;percentage;oui
202500;1;1;30;percentage;oui
202510;1;1;25;percentage;oui
244170;1;1;10;percentage;oui
244350;1;1;10;percentage;oui
244370;1;1;10;percentage;oui
244380;1;1;10;percentage;oui
244390;1;1;10;percentage;oui
244400;1;1;10;percentage;oui
244410;1;1;10;percentage;oui
244420;1;1;10;percentage;oui
244430;1;1;10;percentage;oui
244830;1;1;10;percentage;oui
244840;1;1;10;percentage;oui
244850;1;1;10;percentage;oui
244860;1;1;10;percentage;oui
244870;1;1;10;percentage;oui
244960;1;1;10;percentage;oui
244970;1;1;10;percentage;oui
244990;1;1;10;percentage;oui
174470;1;1;20;percentage;oui
174480;1;1;20;percentage;oui
174490;1;1;20;percentage;oui
174500;1;1;20;percentage;oui
174510;1;1;20;percentage;oui
174520;1;1;20;percentage;oui
174530;1;1;20;percentage;oui
174540;1;1;20;percentage;oui
168670;1;1;10;percentage;oui
168690;1;1;10;percentage;oui
120;1;1;20;percentage;oui
68901;1;1;10;percentage;oui
223220;1;1;15;percentage;oui
231400;1;1;15;percentage;oui
243720;1;1;10;percentage;oui
243730;1;1;10;percentage;oui
243760;1;1;10;percentage;oui
243890;1;1;10;percentage;oui
243780;1;1;10;percentage;oui
243810;1;1;10;percentage;oui
243940;1;1;10;percentage;oui
243920;1;1;10;percentage;oui
243840;1;1;10;percentage;oui
243850;1;1;10;percentage;oui
244000;1;1;10;percentage;oui
243990;1;1;10;percentage;oui
185880;1;1;10;percentage;oui
185870;1;1;10;percentage;oui
185950;1;1;10;percentage;oui
226450;1;1;10;percentage;oui
201820;1;1;10;percentage;oui
237800;1;1;10;percentage;oui
236990;1;1;10;percentage;oui
228260;1;1;10;percentage;oui
237000;1;1;10;percentage;oui
237050;1;1;10;percentage;oui
228270;1;1;10;percentage;oui
237030;1;1;20;percentage;oui
237020;1;1;15;percentage;oui
228280;1;1;10;percentage;oui
191760;1;1;10;percentage;oui
164570;1;1;10;percentage;oui
176270;1;1;10;percentage;oui
