reference;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
233640;1;1;10;percentage;oui
233650;1;1;20;percentage;oui
229880;1;1;20;percentage;oui
233630;1;1;20;percentage;oui
227340;1;1;20;percentage;oui
239950;1;1;20;percentage;oui
241380;1;1;10;percentage;oui
237030;1;1;20;percentage;oui
237020;1;1;20;percentage;oui
237590;1;1;20;percentage;oui
239160;1;1;20;percentage;oui
176470;1;1;10;percentage;oui
238200;1;1;20;percentage;oui
235650;1;1;20;percentage;oui
164580;1;1;20;percentage;oui
415270;1;1;20;percentage;oui
415260;1;1;20;percentage;oui
234340;1;1;20;percentage;oui
268;1;1;20;percentage;oui
241340;1;1;20;percentage;oui
233400;1;1;20;percentage;oui
236540;1;1;20;percentage;oui
50901;1;1;20;percentage;oui
235400;1;1;20;percentage;oui
235380;1;1;20;percentage;oui
235390;1;1;20;percentage;oui
233570;1;1;20;percentage;oui
235700;1;1;20;percentage;oui
222120;1;1;20;percentage;oui
788;1;1;10;percentage;oui
406;1;1;10;percentage;oui
413;1;1;20;percentage;oui
233250;1;1;10;percentage;oui
416;1;1;10;percentage;oui
192310;1;1;10;percentage;oui
403;1;1;10;percentage;oui
409;1;1;10;percentage;oui
209;1;1;10;percentage;oui
232200;1;1;20;percentage;oui
221620;1;1;10;percentage;oui
231760;1;1;20;percentage;oui
231780;1;1;20;percentage;oui
226180;1;1;20;percentage;oui
226190;1;1;20;percentage;oui
231820;1;1;20;percentage;oui
231750;1;1;20;percentage;oui
221790;1;1;10;percentage;oui
221800;1;1;20;percentage;oui
221830;1;1;10;percentage;oui
221880;1;1;10;percentage;oui
231740;1;1;20;percentage;oui
241970;1;1;20;percentage;oui
202480;1;1;20;percentage;oui
202500;1;1;20;percentage;oui
202510;1;1;20;percentage;oui
174390;1;1;20;percentage;oui
174410;1;1;20;percentage;oui
174430;1;1;20;percentage;oui
173020;1;1;20;percentage;oui
173030;1;1;20;percentage;oui
173040;1;1;20;percentage;oui
173050;1;1;20;percentage;oui
174660;1;1;20;percentage;oui
626;1;1;20;percentage;oui
626A;1;1;20;percentage;oui
628;1;1;20;percentage;oui
629;1;1;20;percentage;oui
630;1;1;20;percentage;oui
631;1;1;20;percentage;oui
632;1;1;20;percentage;oui
638;1;1;20;percentage;oui
331;1;1;20;percentage;oui
71201;1;1;10;percentage;oui
71203;1;1;10;percentage;oui
78302;1;1;10;percentage;oui
236250;1;1;20;percentage;oui
945;1;1;20;percentage;oui
946;1;1;20;percentage;oui
829;1;1;20;percentage;oui
440;1;1;10;percentage;oui
54104;1;1;20;percentage;oui
54111;1;1;20;percentage;oui
013/915;1;1;20;percentage;oui
013/991;1;1;20;percentage;oui
241130;1;1;20;percentage;oui
234030;1;1;20;percentage;oui
234020;1;1;20;percentage;oui
236370;1;1;20;percentage;oui
236420;1;1;20;percentage;oui
236430;1;1;10;percentage;oui
236460;1;1;10;percentage;oui
