reference;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
174510;3;1;5;percentage;oui
174500;3;1;5;percentage;oui
174490;3;1;5;percentage;oui
174480;3;1;5;percentage;oui
174470;3;1;5;percentage;oui
174540;3;1;5;percentage;oui
174520;3;1;5;percentage;oui
174530;3;1;5;percentage;oui
2329042;3;1;20;percentage;oui
238200;3;1;25;percentage;oui
2362739;3;1;20;percentage;oui
168670;3;1;5;percentage;oui
2329052;3;1;20;percentage;oui
241350;3;1;5;percentage;oui
116;3;1;5;percentage;oui
202550;3;1;20;percentage;oui
2328992;3;1;20;percentage;oui
223130;3;1;20;percentage;oui
2403610;3;1;20;percentage;oui
2403598;3;1;20;percentage;oui
196360;3;1;5;percentage;oui
243830;3;1;5;percentage;oui
243770;3;1;5;percentage;oui
239810;3;1;5;percentage;oui
243730;3;1;5;percentage;oui
243720;3;1;5;percentage;oui
2328974;3;1;20;percentage;oui
2403581;3;1;20;percentage;oui
2329040;3;1;20;percentage;oui
2329048;3;1;20;percentage;oui
2362696;3;1;20;percentage;oui
2329015;3;1;20;percentage;oui
2362719;3;1;20;percentage;oui
2362756;3;1;20;percentage;oui
2362694;3;1;20;percentage;oui
2362767;3;1;20;percentage;oui
2329032;3;1;20;percentage;oui
2403600;3;1;20;percentage;oui
2403609;3;1;20;percentage;oui
2403611;3;1;20;percentage;oui
2328973;3;1;20;percentage;oui
392;3;1;20;percentage;oui
237030;3;1;5;percentage;oui
2403629;3;1;20;percentage;oui
2329041;3;1;20;percentage;oui
2362698;3;1;20;percentage;oui
2403620;3;1;20;percentage;oui
236280;3;1;20;percentage;oui
236270;3;1;20;percentage;oui
168680;3;1;5;percentage;oui
2328975;3;1;20;percentage;oui
2328978;3;1;20;percentage;oui
2329053;3;1;20;percentage;oui
235380;3;1;20;percentage;oui
174590;3;1;20;percentage;oui
237050;3;1;5;percentage;oui
2403631;3;1;20;percentage;oui
2403618;3;1;20;percentage;oui
184020;3;1;5;percentage;oui
225990;3;1;20;percentage;oui
2362730;3;1;20;percentage;oui
2403582;3;1;20;percentage;oui
2403608;3;1;20;percentage;oui
2362713;3;1;20;percentage;oui
2362784;3;1;20;percentage;oui
2403633;3;1;20;percentage;oui
185880;3;1;5;percentage;oui
185870;3;1;5;percentage;oui
2403586;3;1;20;percentage;oui
2362746;3;1;20;percentage;oui
2403596;3;1;20;percentage;oui
2403599;3;1;20;percentage;oui
2329001;3;1;20;percentage;oui
2403605;3;1;20;percentage;oui
2403625;3;1;20;percentage;oui
406;3;1;5;percentage;oui
235650;3;1;5;percentage;oui
97622;3;1;5;percentage;oui
2403604;3;1;20;percentage;oui
2329017;3;1;20;percentage;oui
79701;3;1;5;percentage;oui
2403593;3;1;5;percentage;oui
194860;3;1;5;percentage;oui
2362727;3;1;20;percentage;oui
2403588;3;1;20;percentage;oui
2403613;3;1;20;percentage;oui
243940;3;1;5;percentage;oui
202500;3;1;20;percentage;oui
226430;3;1;5;percentage;oui
243780;3;1;10;percentage;oui
699;3;1;5;percentage;oui
2329002;3;1;20;percentage;oui
228280;3;1;5;percentage;oui
235400;3;1;5;percentage;oui
190750;3;1;5;percentage;oui
190760;3;1;5;percentage;oui
190770;3;1;5;percentage;oui
190740;3;1;5;percentage;oui
2403584;3;1;20;percentage;oui
2403585;3;1;20;percentage;oui
79801;3;1;5;percentage;oui
243990;3;1;10;percentage;oui
243840;3;1;10;percentage;oui
243740;3;1;20;percentage;oui
390;3;1;20;percentage;oui
176320;3;1;5;percentage;oui
516;3;1;5;percentage;oui
840;3;1;5;percentage;oui
2328999;3;1;20;percentage;oui
856;3;1;5;percentage;oui
164750;3;1;5;percentage;oui
97380;3;1;5;percentage;oui
223470;3;1;5;percentage;oui
781;3;1;5;percentage;oui
915;3;1;5;percentage;oui
2403612;3;1;20;percentage;oui
2362704;3;1;20;percentage;oui
2403632;3;1;20;percentage;oui
107;3;1;10;percentage;oui
164570;3;1;5;percentage;oui
191760;3;1;5;percentage;oui
222300;3;1;5;percentage;oui
233580;3;1;20;percentage;oui
243760;3;1;10;percentage;oui
187640;3;1;5;percentage;oui
2362692;3;1;20;percentage;oui
2403601;3;1;20;percentage;oui
244000;3;1;10;percentage;oui
243810;3;1;10;percentage;oui
243850;3;1;10;percentage;oui
233860;3;1;5;percentage;oui
199260;3;1;5;percentage;oui
243890;3;1;10;percentage;oui
225980;3;1;20;percentage;oui
228260;3;1;5;percentage;oui
97603;3;1;5;percentage;oui
2403590;3;1;20;percentage;oui
2403580;3;1;20;percentage;oui
236990;3;1;5;percentage;oui
202510;3;1;20;percentage;oui
179790;3;1;10;percentage;oui
234310;3;1;5;percentage;oui
542;3;1;5;percentage;oui
243920;3;1;5;percentage;oui
97602;3;1;5;percentage;oui
222590;3;1;15;percentage;oui
239260;3;1;5;percentage;oui
174840;3;1;5;percentage;oui
2328979;3;1;20;percentage;oui
013/991;3;1;5;percentage;oui
013/915;3;1;5;percentage;oui
787;3;1;5;percentage;oui
946;3;1;5;percentage;oui
226530;3;1;5;percentage;oui
233870;3;1;5;percentage;oui
235360;3;1;10;percentage;oui
44005;3;1;5;percentage;oui
2403592;3;1;20;percentage;oui
2403594;3;1;20;percentage;oui
97601;3;1;5;percentage;oui
223030;3;1;10;percentage;oui
223020;3;1;10;percentage;oui
202570;3;1;10;percentage;oui
235280;3;1;5;percentage;oui
187650;3;1;5;percentage;oui
186370;3;1;5;percentage;oui
186380;3;1;5;percentage;oui
404;3;1;5;percentage;oui
236950;3;1;5;percentage;oui
2329051;3;1;20;percentage;oui
681;3;1;5;percentage;oui
234350;3;1;5;percentage;oui
229;3;1;5;percentage;oui
201530;3;1;5;percentage;oui
201640;3;1;5;percentage;oui
201540;3;1;5;percentage;oui
201620;3;1;5;percentage;oui
201700;3;1;5;percentage;oui
201670;3;1;5;percentage;oui
201560;3;1;5;percentage;oui
201580;3;1;5;percentage;oui
201630;3;1;5;percentage;oui
201650;3;1;5;percentage;oui
201550;3;1;5;percentage;oui
201690;3;1;5;percentage;oui
231340;3;1;5;percentage;oui
201590;3;1;5;percentage;oui
201680;3;1;5;percentage;oui
201710;3;1;5;percentage;oui
231380;3;1;5;percentage;oui
201600;3;1;5;percentage;oui
201570;3;1;5;percentage;oui
201520;3;1;5;percentage;oui
237000;3;1;5;percentage;oui
243870;3;1;5;percentage;oui
870;3;1;5;percentage;oui
147810;3;1;5;percentage;oui
147800;3;1;5;percentage;oui
147790;3;1;5;percentage;oui
176270;3;1;5;percentage;oui
139;3;1;5;percentage;oui
50901;3;1;5;percentage;oui
85804;3;1;5;percentage;oui
237110;3;1;5;percentage;oui
857;3;1;5;percentage;oui
230200;3;1;5;percentage;oui
2328971;3;1;20;percentage;oui
2403619;3;1;20;percentage;oui
239160;3;1;20;percentage;oui
202480;3;1;20;percentage;oui
168940;3;1;5;percentage;oui
249;3;1;5;percentage;oui
2403583;3;1;20;percentage;oui
241130;3;1;5;percentage;oui
164770;3;1;5;percentage;oui
170970;3;1;5;percentage;oui
170960;3;1;5;percentage;oui
200480;3;1;5;percentage;oui
798;3;1;5;percentage;oui
97609;3;1;5;percentage;oui
51201;3;1;5;percentage;oui
42904;3;1;5;percentage;oui
202;3;1;5;percentage;oui
238;3;1;5;percentage;oui
795;3;1;5;percentage;oui
164540;3;1;5;percentage;oui
173020;3;1;5;percentage;oui
45010;3;1;5;percentage;oui
565;3;1;5;percentage;oui
233400;3;1;5;percentage;oui
174580;3;1;5;percentage;oui
97605;3;1;5;percentage;oui
680;3;1;5;percentage;oui
226;3;1;5;percentage;oui
614;3;1;5;percentage;oui
756;3;1;5;percentage;oui
236;3;1;5;percentage;oui
234490;3;1;5;percentage;oui
539S;3;1;5;percentage;oui
234;3;1;5;percentage;oui
943;3;1;5;percentage;oui
231460;3;1;5;percentage;oui
2403591;3;1;20;percentage;oui
24301;3;1;5;percentage;oui
164500;3;1;5;percentage;oui
247;3;1;5;percentage;oui
228;3;1;5;percentage;oui
164550;3;1;5;percentage;oui
574B;3;1;5;percentage;oui
235370;3;1;5;percentage;oui
228270;3;1;5;percentage;oui
