Product ID;Final price;tva
6721;30;20
6719;30;20
6715;39,996;20
6713;27,996;20
6711;24,996;20
6707;16,8;20
6705;30;20
6703;18;20
6699;24,996;20
6695;24;20
6693;30;20
6691;18;20
6685;26,4;20
6683;26,4;20
6681;30;20
6679;26,4;20
6677;26,4;20
6675;26,4;20
6673;26,4;20
6669;21,996;20
6667;30,996;20
6665;30,996;20
6663;26,4;20
6661;26,4;20
6647;35,5714285714286;20
6645;30;20
6643;18;20
6641;30;20
6639;22,7428566857143;20
6637;42;20
6635;39,996;20
6633;21,6;20
6631;19,2;20
6627;27,996;20
6625;24;20
6623;30;20
6621;24;20
6619;24,996;20
6617;27,996;20
6615;24;20
6611;34,1714290285714;20
6609;42;20
6607;42;20
6605;42;20
6603;42;20
6601;24;20
6597;24;20
6595;21;20
6593;36;20
6589;26,4;20
6585;26,4;20
6581;20,4;20
6577;20,4;20
6573;22;20
6565;35,5714285714286;20
6563;27;20
6539;51,3142861714286;20
6537;51,3142861714286;20
6535;21,6;20
6531;22,8;20
6529;21,6;20
6523;16,2;20
6517;15,6;20
6509;15,6;20
6507;21;20
6505;22,2;20
6503;20,004;20
6497;16,2;20
6495;18;20
6493;19,2;20
6491;22,8;20
6489;16,2;20
6483;22,2;20
6481;20,4;20
6469;21,996;20
6463;18;20
6461;16,2;20
6457;21,6;20
6443;20,004;20
6441;21,6;20
6437;27;20
6435;20,004;20
6433;20,004;20
6431;20,004;20
6429;21,996;20
6427;21,996;20
6425;21,996;20
6421;21,996;20
6409;30;20
6403;30;20
6385;50,4;20
6383;46,2;20
6373;27;20
6371;22,7428566857143;20
6369;46,2;20
6367;43;20
6365;46,2;20
6363;50,4;20
6361;45;20
6359;45;20
6357;36;20
6353;43;20
6351;20,4;20
6349;18;20
6345;19,2;20
6333;16,02;20
6331;15,6;20
6285;40;20
6225;26,4;20
6219;36;20
6216;62,4;20
6214;21,996;20
6213;30;20
6211;30;20
6209;24,996;20
6205;24,996;20
6203;22,596;20
6201;17,088;20
6199;21,996;20
6197;18;20
6193;30;20
6155;60;20
6153;60;20
6151;49,89996;20
6147;60;20
6143;43;20
6141;39,996;20
6131;39,996;20
6129;39,996;20
6125;36;20
6123;43;20
6119;39,996;20
6117;36;20
6115;36;20
6105;48;20
6103;60;20
6101;60;20
6099;49,89996;20
6097;46,8;20
6095;60;20
6093;36;20
6089;36;20
6083;36;20
6079;39,996;20
6077;36;20
6075;36;20
6073;60;20
6069;60;20
6067;60;20
6027;21,996;20
6015;30,996;20
6013;30;20
6011;30;20
6009;30;20
6007;30;20
6003;30,996;20
5995;24,996;20
5983;29,9499996;20
5971;48;20
5947;27,996;20
5909;30;20
5905;21,6;20
5903;16,8;20
5901;20,004;20
5899;20,004;20
5897;20,004;20
5891;25;20
5889;25;20
5881;20,004;20
5855;42;20
5853;34,1714290285714;20
5851;42;20
5849;42;20
5847;42;20
5845;42;20
5843;42;20
5841;42;20
5839;34,1714290285714;20
5837;42;20
5835;42;20
5833;42;20
5831;42;20
5829;42;20
5827;42;20
5825;42;20
5823;42;20
5821;42;20
5819;42;20
5817;42;20
5815;42;20
5813;42;20
5811;42;20
5807;42;20
5805;42;20
5803;42;20
5801;42;20
5799;42;20
5751;18;20
5743;18;20
5741;15;20
5731;27;20
5719;30;20
5705;30;20
5701;30;20
5697;30;20
5695;30;20
5691;30;20
5689;30;20
5681;30;20
5671;30;20
5665;30;20
5661;30;20
5653;30;20
5639;24;20
5591;0;20
5575;26;20
5523;79,896;20
5521;20;20
5505;30;20
5491;45;20
5477;35;20
5445;18;20
5427;24,996;20
5421;30;20
5411;30;20
5407;30;20
5393;33;20
5391;30;20
5389;30;20
5385;30;20
5379;30;20
5327;30;20
5317;36;20
5315;36;20
5313;36;20
5311;36;20
5309;36;20
5307;39,996;20
5265;18;20
5263;27,996;20
5235;27;20
5219;45,6;20
5217;45,6;20
5213;79,896;20
5197;30;20
5129;18;20
5127;16,8;20
5125;16,8;20
5123;16,8;20
5121;30;20
5117;28,5142861714286;20
5113;16,8;20
5111;16,8;20
5109;17,0004;20
5105;27;20
5085;39,996;20
5023;27;20
4785;27;20
4633;27;20
4617;27;20
4615;27;20
4551;27;20
4543;27;20
4533;27;20
4337;27;20
4325;27;20
4177;27;20
3931;27;20
3923;27;20
3801;27;20
3797;27;20
3795;27;20
3793;27;20
3791;27;20
3785;27;20
3781;27;20
3779;27;20
3775;27;20
3747;27;20
3741;27;20
3697;27;20
3691;27;20
3681;27;20
3677;27;20
3671;27;20
3667;27;20
3659;27;20
3653;27;20
3651;27;20
3643;27;20
3639;27;20
3633;27;20
3629;27;20
3615;27;20
3569;26,4;20
3551;14,952;20
3537;30;20
3535;30;20
3533;26,4;20
3531;21,6;20
3529;24;20
3527;21;20
3525;20,0004;20
3491;20,004;20
3481;20,004;20
3471;15;20
3002;24;20
2992;20,004;20
2982;30;20
2442;24;20
2372;15;20
2232;24;20
2222;39,996;20
2212;30;20
2202;30;20
2102;330;20
2092;300;20
2082;280;20
2072;270;20
2062;270;20
2052;240;20
2042;220;20
2032;200,004;20
1432;36;20
1422;36;20
1402;36;20
1392;72;20
1342;72;20
1312;60;20
1252;48;20
1122;90;20
1102;78;20
415;48;20
401;35;20
394;54;20
337;21,996;20
332;21,6;20
330;20,004;20
329;18,996;20
328;20,004;20
327;24;20
296;18;20
287;28,44;20
277;28,464;20
274;30;20
265;40;20
263;24,996;20
253;20,004;20
250;24,996;20
249;30;20
248;26,4;20
247;27,6;20
245;33,6;20
244;26,4;20
243;27;20
242;27;20
239;20,004;20
237;27;20
235;27;20
234;27;20
233;27;20
159;27;20
158;27;20
157;27;20
156;27;20
155;27;20
154;27;20
153;30;20
152;27;20
150;27;20
149;30;20
147;27;20
146;27;20
145;27;20
143;27;20
142;27;20
139;27;20
138;27;20
135;27;20
134;30;20
132;27;20
131;27;20
127;27;20
126;27;20
125;27;20
124;27;20
123;27;20
121;27;20
120;27;20
118;27;20
117;27;20
116;27;20
115;27;20
114;27;20
112;27;20
111;27;20
110;27;20
109;27;20
108;27;20
107;27;20
106;27;20
105;30;20
104;27;20
